Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BK3,BOX,BKG,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TRI,VBV,WLF,WRF,WRG
1996,CHN,0.05904059040590406,0.08058608058608059,0.040268456375838924,0,0.0,1.125,0.0,0.171875,0.0,0.5,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.2,0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.07142857142857142,0.0,0.2,0.3,0.0,0.0,0.0,3.875,0.0,0.0,0.0,0.0,0.1
2000,CHN,0.09333333333333334,0.05333333333333334,0.04281345565749235,0,0.0,0.9375,0.0,0.125,0.0,0.5,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4901960784313726,0.0,0.0,0.0,2.25,0.0,0.0,0.2,0.0,0.125
2004,CHN,0.10631229235880399,0.056666666666666664,0.043076923076923075,0,0.0,1.0625,0.0,0.0,0.0,0.25,0.06884057971014493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.8333333333333334,0,1.75,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.5,0.0,0.0,0.2,0.0,0.0
2008,CHN,0.15894039735099338,0.07260726072607261,0.08498583569405099,1,0.0,1.0416666666666667,0.0,0.21875,1.5,0.5,0.19148936170212766,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.7,0,2.5,0.0,0.0,0.0,0.5,0.0,0.21428571428571427,0.0,0.35714285714285715,0.0,0.18181818181818182,1.0333333333333334,0.0,0.0,0.0,4.625,0.0,0.0,0.6666666666666666,0.09090909090909091,0.0
2012,CHN,0.12871287128712872,0.10163934426229508,0.0625,0,0.0,3.0,0.0,0.375,0.0,0.0,0.10638297872340426,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,3.75,0.0,0.42857142857142855,0.0,0.8928571428571429,0.0,0.1,1.011111111111111,0.0,0.0,0.0,1.5,0.0,1.0,0.2,0.2727272727272727,0.0
2016,CHN,0.08496732026143791,0.05863192182410423,0.07242339832869081,0,0.0,3.375,0.0,0.4375,0.0,0.0,0.1347517730496454,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.85,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.5,0.14285714285714285,0.0,0.2,1.0333333333333334,0.0,0.0,0.0,5.0,0.0,0.0,0.5,0.0,0.0
2020,CHN,0.11176470588235295,0.09467455621301775,0.0472636815920398,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,CHN,0.12195121951219512,0.08256880733944955,0.0625,0,3.0,3.0,0.0,0.7714285714285715,0.0,0.0,0.16666666666666666,1.5,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.25,0,0.0,0.0,0.7857142857142857,0.0,1.5,0.0,0.0,0.0,1.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.0,5.0,0.0,0.0,1.2,0.16666666666666666,0.0
1964,DEN,0.016260162601626018,0.008771929824561403,0.024793388429752067,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,DEN,0.006896551724137931,0.028985507246376812,0.019736842105263157,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
