Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,AUS,0.04878048780487805,0.017543859649122806,0.08264462809917356,0.05027932960893855,0,0.0,0.0,0.0,15.63888888888889,0.0,0.0,6.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,AUS,0.034482758620689655,0.050724637681159424,0.03289473684210526,0.03908045977011494,0,0.0,0.0,0.0,10.325,0.0,0.0,10.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.9166666666666665,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,AUS,0.05517241379310345,0.041666666666666664,0.010638297872340425,0.033932135728542916,0,0.0,0.0,0.0,7.291666666666666,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,AUS,0.0,0.006329113924050633,0.022099447513812154,0.010245901639344262,0,0.0,0.0,0.0,0.75,0.0,0.0,1.0555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.75,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,AUS,0.016129032258064516,0.029556650246305417,0.022935779816513763,0.023064250411861616,0,0.0,0.0,0.0,3.166666666666667,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,AUS,0.03255813953488372,0.0410958904109589,0.040892193308550186,0.03840682788051209,0,0.0,0.0,0.0,6.3,0.0,0.0,3.0,0.0,0.0,0.75,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,6.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,AUS,0.033210332103321034,0.03296703296703297,0.07718120805369127,0.048693586698337295,0,0.0,0.0,0.0,14.033333333333333,0.0,0.0,3.1666666666666665,0.0,0.0,10.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,9.75,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,4.333333333333334,3.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,2.0,0.0,1.0,0.0,0.0
2000,AUS,0.05333333333333334,0.08333333333333333,0.05198776758409786,0.06256742179072276,1,0.0,1.25,0.0,39.62222222222222,39.0,0.375,7.5,0.0,0.0,19.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0,0.0,10.375,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.5,1.0,0.0,29.70833333333334,0.0,15.583333333333334,3.125,0.0,0.0,0.0,0.0,5.0,3.666666666666667,2.0,4.0,0.0,0.0,0.0,0.0
2004,AUS,0.05647840531561462,0.05333333333333334,0.052307692307692305,0.05399568034557235,0,0.0,3.3472222222222223,0.0,32.91388888888889,4.5,0.875,6.583333333333334,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,26.458333333333332,0.0,6.166666666666667,3.625,0.0,0.0,0.0,0.0,1.0,1.125,1.0,2.6666666666666665,0.0,0.0,0.0,0.0
2008,AUS,0.046357615894039736,0.04950495049504951,0.04815864022662889,0.04801670146137787,0,0.0,4.916666666666666,0.0,42.580555555555556,10.5,0.0,7.75,0.0,0.0,24.0,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,21.0,0.0,12.333333333333334,2.291666666666667,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,4.0,1.0,0.0,0.0,0.0,0.0
2012,AUS,0.026402640264026403,0.04918032786885246,0.03409090909090909,0.036458333333333336,0,0.0,3.4722222222222223,0.0,30.308333333333334,12.333333333333332,0.0,7.583333333333334,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,1.8333333333333335,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.750000000000004,0.0,19.5,2.208333333333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.0
2016,AUS,0.026143790849673203,0.035830618892508145,0.027855153203342618,0.029835390946502057,0,0.0,1.3333333333333333,0.0,22.11388888888889,3.833333333333333,1.25,2.5,0.0,0.0,4.583333333333333,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0,0.0,1.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,15.583333333333334,36.0,15.666666666666666,3.5833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
2020,AUS,0.05,0.020710059171597635,0.05472636815920398,0.04259259259259259,0,0.0,0.8333333333333333,1.0,29.126190476190477,0.5,0.41666666666666663,4.0,0.0,0.0,11.166666666666668,1.0,0.0,3.833333333333333,1.6666666666666667,3.0,0.0,0.0,1.0,0,0.0,3.3333333333333335,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.916666666666664,7.5,10.666666666666666,0.0,3.0,0.0,1.0,0.0,0.0,0.5833333333333333,0.0,3.0,0.0,0.0,0.0,0.0
2024,AUS,0.054878048780487805,0.0581039755351682,0.041666666666666664,0.05101058710298364,0,0.0,1.25,0.0,32.8686507936508,19.333333333333336,0.0,6.833333333333333,0.0,0.0,10.416666666666666,2.0,0.0,8.416666666666666,4.75,2.0,1.5,0.0,1.25,0,0.0,1.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,1.0,6.0,2.0,6.0,0.0,2.0,0.0,0.0,2.166666666666667,0.0,1.6666666666666665,0.0,0.0,0.0,0.0
