Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,BRA,0.0,0.0,0.008264462809917356,0.002793296089385475,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,BRA,0.0,0.007246376811594203,0.013157894736842105,0.006896551724137931,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,3.9999999999999996,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,BRA,0.0,0.0,0.010638297872340425,0.003992015968063872,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0,0.8333333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,BRA,0.0,0.0,0.011049723756906077,0.004098360655737705,0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666665,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,BRA,0.005376344086021506,0.009852216748768473,0.013761467889908258,0.009884678747940691,0,0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,31.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,BRA,0.009302325581395349,0.0045662100456621,0.0,0.004267425320056899,0,0,0.0,0.0,0.4,0.0,0.0,0.75,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,1.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0
1996,BRA,0.01107011070110701,0.01098901098901099,0.030201342281879196,0.017814726840855107,0,0,0.0,0.0,0.9083333333333332,0.0,0.0,1.5833333333333333,0.0,0,17.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.25,0.0,0,16.833333333333332,0.0,0.0,0.0,0.0,0.0,2.333333333333333,0.0,0.0,0.0,7.499999999999999,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,0.0,0.0,0.0
2000,BRA,0.0,0.02,0.01834862385321101,0.012944983818770227,0,0,0.0,0.0,2.161111111111111,0.0,0.0,4.166666666666667,0.0,0,12.75,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.4999999999999998,0.0,0,0.0,0.0,0.0,0.0,0.0,1.25,4.5,0.0,0.0,0.0,6.583333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,9.75,15.583333333333332,0.0,0.0,0.0
2004,BRA,0.016611295681063124,0.006666666666666667,0.009230769230769232,0.01079913606911447,0,0,0.0,0.0,1.0930555555555554,0.0,0.0,2.486111111111111,0.0,0,4.916666666666667,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.9583333333333333,0.0,0,22.666666666666668,0.0,0.0,0.0,0.0,0.0,2.833333333333333,0.0,0.25,0.0,7.416666666666666,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,7.916666666666666,28.0,0.0,0.0,0.0
2008,BRA,0.009933774834437087,0.013201320132013201,0.028328611898016998,0.017745302713987474,0,0,0.0,0.0,1.3333333333333333,0.0,0.0,3.3333333333333335,0.0,0,1.1666666666666665,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.625,0.0,0,44.666666666666664,0.0,0.0,0.0,0.0,1.125,3.5,0.0,0.0,0.0,6.833333333333333,0.0,0.0,0,0.0,0.0,0.5,0.0,0.0,5.333333333333333,50.25,0.0,0.0,0.0
2012,BRA,0.009900990099009901,0.01639344262295082,0.02556818181818182,0.017708333333333333,0,0,0.0,0.0,1.1388888888888888,0.0,0.0,1.4166666666666667,0.0,0,0.25,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6666666666666666,0.0,0,47.25000000000001,0.0,0.0,0.0,0.0,0.0,6.166666666666666,0.5,0.0,0.0,4.5,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0,5.75,59.66666666666667,0.0,0.0,0.0
2016,BRA,0.02287581699346405,0.019543973941368076,0.016713091922005572,0.01954732510288066,1,0,0.0,0.0,0.5,0.0,0.0,3.666666666666667,0.0,0,0.0,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,54.83333333333333,0.0,0.0,0.0,0.0,0.5,6.25,0.3333333333333333,1.5,0.0,8.75,1.0,0.0,0,0.0,0.0,1.0,0.0,0.0,9.833333333333334,45.833333333333336,0.0,0.0,0.0
2020,BRA,0.020588235294117647,0.01775147928994083,0.01990049751243781,0.019444444444444445,0,0,0.0,3.0,0.8333333333333333,0.0,0.0,2.0,0.0,0,0.0,6.0,0,1.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,66.0,0.0,1.9047619047619047,0.0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,7.0,0.0,6.0,0,3.0,0.0,0.0,1.5,0.0,1.6666666666666667,24.500000000000004,0.0,0.0,0.0
2024,BRA,0.009146341463414634,0.021406727828746176,0.026041666666666668,0.019249278152069296,0,0,0.0,1.5,0.25,0.0,0.0,1.0,0.0,0,0.0,1.5,0,1.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,39.0,0.0,1.1547619047619047,0.0,0.0,0.0,8.166666666666668,0.0,0.0,0.0,2.0,0.0,4.5,0,1.5,0.0,0.5,0.75,0.0,3.0,16.0,0.0,0.0,0.0
