Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,BUL,0.024390243902439025,0.043859649122807015,0.01652892561983471,0.027932960893854747,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.5,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.5,7.333333333333333
1968,BUL,0.013793103448275862,0.028985507246376812,0.019736842105263157,0.020689655172413793,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,36.0,0,0.0,0.0,0,0,0.0,0.0,0.5,0,0.0,0.3333333333333333,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.833333333333333,6.0
1972,BUL,0.041379310344827586,0.05952380952380952,0.026595744680851064,0.041916167664670656,0,0,0.0,0,0.0,0.0,0.0,2.8333333333333335,0.0,0,0.0,6.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,14.0,5.0,10.0
1976,BUL,0.040268456375838924,0.056962025316455694,0.03867403314917127,0.045081967213114756,0,0,0.0,0,0.0,0.0,0.0,4.833333333333334,0.0,0,12.0,2.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,22.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,11.61111111111111,4.0,8.333333333333334
1988,BUL,0.053763440860215055,0.059113300492610835,0.05963302752293578,0.057660626029654036,0,0,0.0,0,2.5,0.0,0.0,7.611111111111111,0.0,0,0.0,5.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,2.0,0,0,0.0,0.0,7.0,0,0.0,2.5,0,0,0,0.0,0.0,0.5,0,0.0,0.0,9.0,4.0,10.0
1992,BUL,0.013953488372093023,0.0319634703196347,0.022304832713754646,0.02275960170697013,0,0,0.0,0,0.0,0.0,0.75,5.25,0.75,0,0.0,2.5,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.5,0,0.0,3.25,0,0,0,0.0,0.0,0.0,0,0.0,0.0,5.75,3.0,3.0
1996,BUL,0.01107011070110701,0.02564102564102564,0.016778523489932886,0.017814726840855107,0,0,0.0,0,0.0,0.0,0.0,1.6666666666666667,0.0,0,0.0,5.166666666666667,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,12.0,0,0,0.0,0.0,0.0,0,0.0,3.9999999999999996,0,0,0,0.0,0.0,0.0,0,0.0,0.0,4.375,1.3333333333333333,0.7083333333333333
2000,BUL,0.016666666666666666,0.02,0.0061162079510703364,0.014023732470334413,0,0,0.0,0,0.0,0.0,0.0,3.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.6666666666666666,0,0.0,3.7083333333333335,0,0,0,0.0,0.0,0.0,0,0.0,0.0,7.583333333333334,2.0,3.0
2004,BUL,0.006644518272425249,0.0033333333333333335,0.027692307692307693,0.012958963282937365,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,4.5,0,0,0.5,0.0,1.25,0,0.0,2.125,0,0,0,0.0,0.0,0.0,0,0.0,0.0,4.25,0.6666666666666666,2.0
2008,BUL,0.0033112582781456954,0.0033003300330033004,0.0084985835694051,0.005219206680584551,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.5,0,0,0.0,0.0,1.8333333333333333,0,0.0,1.5,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,2.333333333333333
2012,BUL,0.0,0.006557377049180328,0.002840909090909091,0.003125,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.875,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.1666666666666665,0.0
2016,BUL,0.0,0.003257328990228013,0.005571030640668524,0.0030864197530864196,0,0,0.0,0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,3.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0
2020,BUL,0.008823529411764706,0.0029585798816568047,0.004975124378109453,0.005555555555555556,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,3.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,15.0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.0
2024,BUL,0.009146341463414634,0.0030581039755351682,0.0078125,0.006737247353224254,0,0,0.0,0,0.0,0.0,0.0,0.6666666666666666,0.0,0,0.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,1.0,0,0,0.0,0.0,0.0,0,0.0,0.5,0,0,0,0.0,1.0,0.0,0,0.0,0.0,3.5,3.0,3.0
