Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,CAN,0.008130081300813009,0.017543859649122806,0.008264462809917356,0.0111731843575419,0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,CAN,0.006896551724137931,0.021739130434782608,0.006578947368421052,0.011494252873563218,0,0.0,0.0,0.0,2.158333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.6666666666666665,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,CAN,0.0,0.011904761904761904,0.015957446808510637,0.00998003992015968,0,0.0,0.0,0.0,2.978571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,CAN,0.0,0.03164556962025317,0.03314917127071823,0.022540983606557378,1,0.0,0.0,0.0,8.780952380952382,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,CAN,0.016129032258064516,0.009852216748768473,0.022935779816513763,0.016474464579901153,0,0.0,0.0,0.0,4.516666666666667,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,CAN,0.03255813953488372,0.0182648401826484,0.026022304832713755,0.025604551920341393,0,0.0,0.0,0.0,3.033333333333333,0.0,0.0,2.25,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,42.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
1996,CAN,0.01107011070110701,0.040293040293040296,0.026845637583892617,0.026128266033254157,0,0.0,1.0,0.0,1.1111111111111112,0.0,0.0,8.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,38.666666666666664,0.0,0.8333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
2000,CAN,0.01,0.01,0.024464831804281346,0.015102481121898598,0,0.0,1.5,0.0,0.7222222222222222,0.0,0.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,13.166666666666668,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.0,1.5,3.0,1.0,0.0,0.0,4.0,0.0
2004,CAN,0.009966777408637873,0.02,0.009230769230769232,0.012958963282937365,0,0.0,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0.75,0.0,8.166666666666668,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,0.6666666666666666,0.0,0.0,4.166666666666667,0.0
2008,CAN,0.009933774834437087,0.0297029702970297,0.0226628895184136,0.020876826722338204,0,0.0,1.7499999999999998,0.0,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.25,0.0,0,0.0,0.0,0.0,0.0,3.666666666666667,0.0,0.0,0.0,25.166666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.375,1.6666666666666667,0.0,0.0,0.0,4.5,0.0
2012,CAN,0.006600660066006601,0.019672131147540985,0.028409090909090908,0.01875,0,0.0,2.1041666666666665,0.0,1.5833333333333333,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0,12.5,0.0,0.0,0.0,3.75,0.0,1.0,0.0,30.166666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.375,1.25,0.0,0.0,0.5,3.666666666666667,0.0
2016,CAN,0.013071895424836602,0.009771986970684038,0.04178272980501393,0.02263374485596708,0,0.0,1.0,0.0,7.358333333333333,0.0,0.0,6.499999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,16.33333333333333,0.0,0.0,0.0,2.6666666666666665,0.0,0.5,0.0,7.666666666666667,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
2020,CAN,0.020588235294117647,0.020710059171597635,0.024875621890547265,0.022222222222222223,0,0.0,2.75,0.0,6.208333333333332,0.0,0.0,7.361111111111111,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.25,0.0,0,0.0,0.0,0.0,0.0,0,53.16666666666667,0.0,0.0,0.0,1.5,0.0,1.8333333333333333,0.0,24.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
