Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,CUB,0.0,0.008771929824561403,0.0,0.002793296089385475,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1968,CUB,0.0,0.028985507246376812,0.0,0.009195402298850575,0,0,0.0,0,0.0,0.0,0.0,7.0,0.0,0,0.0,4.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1972,CUB,0.020689655172413793,0.005952380952380952,0.02127659574468085,0.015968063872255488,0,0,0.0,0,0.0,0.0,0.0,4.833333333333333,0.0,0,9.0,12.5,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
1976,CUB,0.040268456375838924,0.02531645569620253,0.016574585635359115,0.02663934426229508,0,0,0.0,0,0.0,0.0,0.0,3.1388888888888884,0.0,0,3.5,19.5,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,1.5,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,9.0,0.0,0.0,0.0
1992,CUB,0.06511627906976744,0.0273972602739726,0.040892193308550186,0.044096728307254626,0,0,0.0,0,0.0,0.0,0.0,19.5,0.0,0,0.0,25.0,0,0.0,0,0,0,0,0.0,0,0,0,0,7.5,0,0.0,0,0.0,0,0,0.0,8.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,30.0,2.0,4.0,5.0
1996,CUB,0.033210332103321034,0.029304029304029304,0.026845637583892617,0.029691211401425176,0,0,0.0,0,1.0,0.0,0.0,8.25,0.0,0,0.0,18.0,0,0.0,0,0,0,0,0.0,0,0,0,0,4.25,0,0.0,0,0.0,0,0,0.0,9.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,30.0,2.5,2.5,6.5
2000,CUB,0.03666666666666667,0.03666666666666667,0.021406727828746176,0.03128371089536138,0,0,0.0,0,0.5833333333333333,0.0,0.0,9.333333333333334,0.0,0,0.0,16.333333333333336,0,0.0,0,0,0,0,0.0,0,0,0,0,3.6666666666666665,0,0.0,0,0.0,0,0,0.0,9.999999999999998,0.0,0.0,0,0.0,0.0,0,0,0,0.0,5.0,0,0,0.0,24.0,0.0,3.0,6.666666666666667
2004,CUB,0.029900332225913623,0.023333333333333334,0.033846153846153845,0.029157667386609073,0,0,0.0,0,0.0,0.0,0.0,7.333333333333333,0.0,0,0.0,19.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,7.0,0.0,0.0,0,0.0,0.3333333333333333,0,0,0,0.0,3.5,0,0,0.0,14.666666666666668,0.0,5.5,4.916666666666666
2008,CUB,0.009933774834437087,0.033003300330033,0.04815864022662889,0.031315240083507306,0,0,0.0,0,0.0,0.0,0.0,10.916666666666666,0.0,0,0.0,12.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,9.666666666666668,0.0,0.0,0,0.0,0.25,0,0,0,0.0,2.0,0,0,0.0,4.75,0.0,2.0,2.5
2012,CUB,0.0165016501650165,0.009836065573770493,0.019886363636363636,0.015625,0,0,0.0,0,0.0,0.0,0.0,5.5,0.0,0,0.0,7.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,5.833333333333334,0.0,0.0,0,0.0,0.9166666666666666,0,0,0,0.0,1.0,0,0,0.0,0.0,0.5,1.0,2.0
2016,CUB,0.016339869281045753,0.006514657980456026,0.011142061281337047,0.01131687242798354,0,0,0.0,0,0.0,0.0,0.0,1.8333333333333333,0.0,0,0.0,11.833333333333332,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,3.6666666666666665,0.0,0.0,0,0.0,1.375,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.5,7.25
2020,CUB,0.020588235294117647,0.008875739644970414,0.012437810945273632,0.013888888888888888,0,0,0.0,0,0.0,0.0,0.0,4.0,0.0,0,0.0,13.0,0,4.5,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,2.0,0.0,0.0,0,0.0,2.0,0,0,0,0.0,1.0,0,0,0.0,0.0,0.0,1.0,6.0
2024,CUB,0.006097560975609756,0.0030581039755351682,0.015625,0.008662175168431183,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,0,0.25,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.0,0,0.0,1.0,0,0,0,0.0,1.0,0,0,0.0,0.0,0.0,2.0,5.5
