Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,DEN,0.016260162601626018,0.008771929824561403,0.024793388429752067,0.01675977653631285,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,0,10.833333333333334,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
1968,DEN,0.006896551724137931,0.028985507246376812,0.019736842105263157,0.01839080459770115,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,4.5,0,7.833333333333333,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
1972,DEN,0.006896551724137931,0.0,0.0,0.001996007984031936,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0,2.1666666666666665,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
1976,DEN,0.006711409395973154,0.0,0.011049723756906077,0.006147540983606557,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
1988,DEN,0.010752688172043012,0.0049261083743842365,0.0045871559633027525,0.006589785831960461,0,0,0.0,0,0.5,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
1992,DEN,0.004651162790697674,0.0045662100456621,0.01486988847583643,0.008534850640113799,0,0,0.0,0,0.0,0,0.0,0.0,1.0,0,0,1.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
1996,DEN,0.014760147601476014,0.003663003663003663,0.003355704697986577,0.007125890736342043,0,0,0.0,0,0.0,0,0.0,0.0,2.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,45.0,0.0,0.0,12.5,0,3.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2000,DEN,0.006666666666666667,0.01,0.0030581039755351682,0.006472491909385114,0,0,0.0,0,0.0,0,0.0,2.0,1.6666666666666665,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,45.0,0.0,0.0,6.0,0,9.833333333333334,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0
2004,DEN,0.006644518272425249,0.0033333333333333335,0.015384615384615385,0.008639308855291577,0,0,0.0,0,0.0,0,0.0,2.5,0.9166666666666666,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,45.0,0.0,0.0,10.333333333333334,0,3.5,0.6666666666666666,0.0,0,0,0.75,0.0,0.0,0.0,0,0,0.0,0,0.0
2008,DEN,0.006622516556291391,0.006600660066006601,0.0084985835694051,0.007306889352818371,0,0,0.0,0,0.3333333333333333,0,0.0,0.6666666666666666,0.125,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,11.833333333333334,0,6.0,0.0,0.0,0,0,0.16666666666666666,0.0,0.0,0.0,0,0,0.0,0,0.0
