Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1976,DOM,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1988,DOM,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1992,DOM,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
1996,DOM,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2000,DOM,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2004,DOM,0.0033222591362126247,0.0,0.0,0.0010799136069114472,0,0,0.0,0,0.0,0,0.0,1.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
2008,DOM,0.0033112582781456954,0.0033003300330033004,0.0,0.0020876826722338203,0,0,0.0,0,0.0,0,0.0,1.0,0,0,0,1.5,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0
2012,DOM,0.0033003300330033004,0.003278688524590164,0.0,0.0020833333333333333,0,0,0.0,0,0.0,0,0.0,2.125,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.6666666666666666,0.0,0,0,0.0,0.0,0.0,0.0
2016,DOM,0.0,0.0,0.002785515320334262,0.00102880658436214,0,0,0.0,0,0.0,0,0.0,0.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0
2020,DOM,0.0,0.008875739644970414,0.004975124378109453,0.004629629629629629,0,0,0.0,0,0.0,0,0.0,10.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,0.0
2024,DOM,0.003048780487804878,0.0,0.005208333333333333,0.0028873917228103944,0,0,0.0,0,0.0,0,0.0,4.5,0,0,0,2.0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0
