Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1972,FIJ,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
1976,FIJ,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
1988,FIJ,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
1992,FIJ,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
1996,FIJ,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2000,FIJ,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2004,FIJ,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2008,FIJ,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2012,FIJ,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2016,FIJ,0.0032679738562091504,0.0,0.0,0.00102880658436214,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,39.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2020,FIJ,0.0029411764705882353,0.0,0.0024875621890547263,0.001851851851851852,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,49.5,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
2024,FIJ,0.0,0.0030581039755351682,0.0,0.0009624639076034649,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,32.33333333333333,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0
