Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,FRA,0.008130081300813009,0.07017543859649122,0.049586776859504134,0.04189944134078212,0,0.0,0.0,0.0,2.0,0.0,0.0,2.833333333333333,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5,2.8333333333333335,7.375,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1968,FRA,0.04827586206896552,0.021739130434782608,0.03289473684210526,0.034482758620689655,0,0.0,0.0,0.0,2.8333333333333335,0.0,0.0,5.083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.5,2.875,10.333333333333332,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
1972,FRA,0.013793103448275862,0.023809523809523808,0.03723404255319149,0.02594810379241517,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.4166666666666665,6.833333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1976,FRA,0.013422818791946308,0.0189873417721519,0.022099447513812154,0.018442622950819672,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.083333333333334,9.791666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
1988,FRA,0.03225806451612903,0.019704433497536946,0.027522935779816515,0.026359143327841845,0,0.0,0.0,0.0,0.45,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,3.5,12.25,0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,FRA,0.037209302325581395,0.0228310502283105,0.05947955390334572,0.041251778093883355,0,0.0,0.0,0.0,0.8083333333333332,0.0,1.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,0.5,0.0,2.0,8.25,0,0.0,0.0,0.0,0.0,0.0,16.0,11.5,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,FRA,0.055350553505535055,0.02564102564102564,0.050335570469798654,0.043942992874109264,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.75,2.8333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0,0.3333333333333333,0.0,0.75,13.666666666666668,0,0.0,0.0,0.0,0.0,0.0,3.0,11.833333333333332,0.0,10.333333333333332,0.0,0.0,1.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2000,FRA,0.043333333333333335,0.04666666666666667,0.03363914373088685,0.040992448759439054,0,0.0,0.0,0.0,1.1111111111111112,0.0,0.5,1.125,0.0,0.0,24.0,4.0,0.0,0.0,8.666666666666666,0.0,0.0,0.0,0.0,0,0.0,0.0,0.25,18.875,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,11.833333333333334,0.0,17.666666666666668,0.0,0.0,3.5,0.0,0.0,0.0,0.7083333333333333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
2004,FRA,0.036544850498338874,0.03,0.04,0.035637149028077755,0,0.0,0.0,0.0,2.761111111111111,0.0,0.0,2.4166666666666665,0.0,0.0,0.0,1.5,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,0.0,5.75,0.25,17.916666666666664,0,0.0,0.0,0.0,0.0,0.0,0.25,4.166666666666666,0.0,6.0,0.0,3.8333333333333335,0.375,0.0,0.0,0.0,0.25,2.0,0.5,0.0,0.0,0.0,0.0,2.0,0.0
2008,FRA,0.023178807947019868,0.052805280528052806,0.056657223796033995,0.04488517745302714,0,0.0,0.0,0.0,8.700000000000001,0.0,1.25,2.611111111111111,0.0,0.0,0.0,5.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.583333333333332,0,0.0,0.0,0.0,0.0,0.0,25.5,5.333333333333333,0.0,10.5,0.0,5.5,1.875,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,2.0,0.5,4.0
