Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,GBR,0.032520325203252036,0.10526315789473684,0.01652892561983471,0.05027932960893855,0,0.0,0.5,0.0,1.25,0.0,0.0,19.333333333333332,0.0,0,0.0,1.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.75,1.7166666666666668,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0
1968,GBR,0.034482758620689655,0.036231884057971016,0.019736842105263157,0.029885057471264367,0,0.0,0.0,0.0,0.65,0.0,0.0,8.416666666666666,0.0,0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.5,1.3333333333333333,0.475,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.833333333333333,1.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1972,GBR,0.027586206896551724,0.02976190476190476,0.047872340425531915,0.03592814371257485,0,0.0,0.0,0.0,0.5,0.0,0.0,8.083333333333332,0.0,0,0.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,1.25,0.225,0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1976,GBR,0.020134228187919462,0.03164556962025317,0.027624309392265192,0.02663934426229508,0,0.0,0.0,0.0,2.791666666666667,0.0,0.0,2.083333333333333,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.125,0.25,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.333333333333333,3.375,14.0,0.0,14.166666666666666,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1988,GBR,0.026881720430107527,0.04926108374384237,0.04128440366972477,0.039538714991762765,0,0.0,0.0,0.0,3.25,0.0,1.5,17.0,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,5.5,0.0,6.0,1.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1992,GBR,0.023255813953488372,0.0136986301369863,0.04460966542750929,0.02844950213371266,0,0.0,0.0,0.0,1.6666666666666667,0.0,2.0,10.916666666666666,0.0,0,0.0,1.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,1.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.75,14.5,0.0,2.5,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1996,GBR,0.0036900369003690036,0.029304029304029304,0.020134228187919462,0.017814726840855107,0,0.0,0.0,0.0,2.0277777777777777,0.0,0.3333333333333333,15.277777777777775,0.0,0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.16666666666666666,12.166666666666666,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0
2000,GBR,0.03666666666666667,0.03333333333333333,0.021406727828746176,0.030204962243797196,0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,7.666666666666667,0.5,0,0.0,3.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,7.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,39.58333333333333,0.0,14.5,2.5,0.0,0.0,0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0
2004,GBR,0.029900332225913623,0.03,0.036923076923076927,0.032397408207343416,0,0.0,0.8333333333333333,0.0,2.0,0.0,0.125,9.0,1.5,0,0.0,2.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,6.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.5,20.666666666666664,0.0,16.666666666666664,2.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0
2008,GBR,0.06291390728476821,0.0429042904290429,0.053824362606232294,0.05323590814196242,0,0.0,0.3333333333333333,0.0,5.333333333333333,0.0,0.125,8.416666666666668,0.8333333333333333,0,0.0,5.0,0,0.0,3.0,0.0,0.0,0.0,0.0,0,0.0,2.875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.166666666666664,0.0,22.25,0.75,0.0,0.0,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0
2012,GBR,0.09570957095709572,0.05901639344262295,0.05113636363636364,0.06770833333333333,1,0.0,0.5,0.0,3.7777777777777777,0.0,0.125,8.583333333333332,0.0,0,0.0,12.0,0,0.0,8.5,0.0,0.0,0.0,0.0,0,4.5,4.458333333333334,4.25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,2.0,53.333333333333336,0.0,16.75,3.75,0.0,0.0,0,0.0,4.25,1.5,2.5,0.0,0.0,0.0,0.0,0
2016,GBR,0.08823529411764706,0.0749185667752443,0.04735376044568245,0.06893004115226338,0,0.0,4.083333333333333,0.0,10.022222222222222,0.0,0.0,11.999999999999998,2.0,0,0.0,6.0,0,0.0,5.833333333333333,0.0,0.0,0.0,0.0,0,5.583333333333333,1.375,1.25,0.0,0,0.0,3.0,0.0,0.0,2.0,0.0,0.5,1.0,58.24999999999999,24.0,9.75,0.8333333333333333,0.0,0.0,0,0.0,5.5,0.888888888888889,4.0,0.0,0.0,0.0,0.0,0
2020,GBR,0.06470588235294118,0.05917159763313609,0.05472636815920398,0.05925925925925926,0,0.0,5.25,0.0,17.091666666666665,0.0,0.0,14.75,0.5,0,0.0,10.5,0,1.5,2.0,4.0,5.0,3.0,1.5,0,4.166666666666666,8.5,2.25,0.0,0,0.0,0.0,1.2761904761904763,0.0,1.5,0.0,1.0,4.5,20.333333333333332,1.0,19.833333333333332,0.5,1.0,0.0,0,0.0,7.0,0.0,9.5,0.0,0.0,2.0,0.0,0
2024,GBR,0.042682926829268296,0.0672782874617737,0.07552083333333333,0.06256015399422522,0,2.0,5.291666666666666,0.0,13.002777777777776,0.0,0.0,29.222222222222225,0.0,0,0.0,1.0,0,0.0,4.0,2.0,2.5,0.0,1.0,0,3.125,7.5,6.25,0.0,0,0.0,1.0,0.7765873015873015,0.0,2.0,0.0,0.5,2.5,56.5,0.0,6.0,5.0,1.0,3.0,0,0.0,4.5,0.0,4.5,0.0,0.0,1.0,0.0,0
