Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,GER,0.0,0.0,0.0,0.0,0,0,2.75,0.0,9.875,0.0,0.0,18.833333333333336,0.0,0.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.5,2.25,6.0,3.416666666666667,0,18.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,39.33333333333333,0,9.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,3.666666666666667
1968,GER,0.034482758620689655,0.07971014492753623,0.06578947368421052,0.059770114942528735,0,0,1.8333333333333333,0.0,12.888888888888888,0.0,0.0,22.166666666666668,0.0,0.0,0.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.333333333333334,0.8333333333333333,4.375,1.9444444444444444,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.333333333333336,0,8.5,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,4.75
1972,GER,0.0896551724137931,0.06547619047619048,0.0851063829787234,0.07984031936127745,0,0,1.0,0.0,22.849999999999994,0.0,0.0,64.75,0.0,0.0,0.0,5.0,0,0.0,25.0,0.0,0.0,0.0,0.0,0,4.625,1.5833333333333333,5.125,0.25,0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,64.33333333333333,0,9.166666666666666,6.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,2.6666666666666665,6.5
1976,GER,0.06711409395973154,0.0759493670886076,0.09392265193370165,0.07991803278688525,0,0,1.0,0.0,25.072222222222223,0.16666666666666666,0.0,75.58333333333333,0.0,0.0,0.0,5.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5.833333333333333,4.0,6.0,15.5,0,46.0,0.0,0.0,0.0,0.0,27.5,1.5,0.0,153.0,0,21.333333333333336,15.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.5
1988,GER,0.05913978494623656,0.06896551724137931,0.06880733944954129,0.06589785831960461,0,0,0.0,0.0,38.68333333333334,0.0,0.0,59.0,0.0,0.0,0.0,9.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.75,6.0,8.5,31.0,0,18.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,136.0,0,9.166666666666668,11.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,10.0,1.0,2.0
1992,GER,0.15348837209302327,0.0958904109589041,0.10408921933085502,0.1166429587482219,0,0,0.5,0.0,15.333333333333334,0.0,0.0,24.666666666666668,0.0,0.0,0.0,10.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0,9.0,4.0,3.0,28.75,0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,84.0,0,4.5,9.25,0.0,0.0,0.0,1.0,0.0,4.5,0.0,0.0,0.0,6.0,2.5,2.5
1996,GER,0.07380073800738007,0.06593406593406594,0.09060402684563758,0.07719714964370546,0,0,2.3333333333333335,0.0,12.902777777777779,0.0,2.5,19.333333333333336,0.0,0.0,0.0,5.0,0,0.0,7.5,0.0,0.0,0.0,0.0,0,9.5,1.4166666666666665,7.5,8.416666666666666,0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,47.5,0,6.0,10.333333333333332,0.0,0.0,0.0,0.8333333333333333,0.0,1.0,0.0,0.0,0.0,5.666666666666667,2.0,2.9999999999999996
2000,GER,0.043333333333333335,0.056666666666666664,0.07951070336391437,0.06040992448759439,0,0,1.375,0.0,8.530555555555555,0.0,2.0,13.73611111111111,0.0,0.0,0.0,1.0,0,0.0,4.0,0.0,0.0,0.0,0.0,0,7.666666666666666,0.0,5.625,8.125,0,14.0,0.0,0.0,0.0,0.0,0.0,1.625,0.0,29.75,0,9.25,4.5,0.0,0.0,0.0,0.375,2.0,1.25,2.0,1.0,0.0,3.833333333333333,0.5,1.1666666666666665
2004,GER,0.04318936877076412,0.05333333333333334,0.06153846153846154,0.052915766738660906,0,0,1.5833333333333333,0.0,8.669444444444444,0.0,0.375,4.5,0.0,0.0,0.0,2.5,0,0.0,6.333333333333333,0.0,0.0,0.0,0.0,0,6.75,0.0,3.2916666666666665,3.3333333333333335,0,15.166666666666666,0.0,0.0,0.0,2.5,18.666666666666668,6.0,0.0,25.5,0,1.25,6.166666666666667,0.0,0.0,0.0,0.375,0.0,1.5,0.0,0.0,0.0,1.75,0.0,0.0
2008,GER,0.052980132450331126,0.036303630363036306,0.039660056657223795,0.04279749478079332,0,0,2.0,0.0,4.144444444444445,0.0,0.0,1.6666666666666665,0.0,0.0,0.0,0.5,0,0.0,3.0,0.0,0.0,0.0,0.0,0,5.916666666666666,4.0,1.5,5.333333333333333,0,15.25,0.0,0.0,0.0,1.5,4.833333333333333,5.0,3.0,11.75,0,3.0,4.75,0.0,0.0,0.0,2.333333333333333,0.0,0.6666666666666666,3.0,0.0,0.0,3.0,0.0,1.0
