Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1968,GHA,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
1972,GHA,0.0,0.0,0.005319148936170213,0.001996007984031936,0,0,0,0,0.0,0,0,0.0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
1988,GHA,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
1992,GHA,0.0,0.0,0.0037174721189591076,0.001422475106685633,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
1996,GHA,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2000,GHA,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2004,GHA,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2008,GHA,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2012,GHA,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2016,GHA,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2020,GHA,0.0,0.0,0.0024875621890547263,0.000925925925925926,0,0,0,0,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2024,GHA,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
