Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,GRE,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,GRE,0.0,0.0,0.006578947368421052,0.0022988505747126436,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1972,GRE,0.0,0.011904761904761904,0.0,0.003992015968063872,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1976,GRE,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75
1988,GRE,0.0,0.0,0.0045871559633027525,0.0016474464579901153,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1992,GRE,0.009302325581395349,0.0,0.0,0.002844950213371266,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
1996,GRE,0.014760147601476014,0.014652014652014652,0.0,0.009501187648456057,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.5,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
2000,GRE,0.013333333333333334,0.02,0.009174311926605505,0.014023732470334413,0,0.0,0.0,0.0,0.0,0.0,0.0,6.416666666666666,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,10.666666666666668,0.5,0.0
2004,GRE,0.019933554817275746,0.02,0.012307692307692308,0.017278617710583154,1,0.0,2.0,0.0,0.0,26.0,0.0,9.333333333333334,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,3.0,0.0,1.3333333333333333,0,3.75,0.0,0,0,0,0.0,4.5,0.0,0.0,0.0,0.0,6.5,0.3333333333333333,1.0
2008,GRE,0.0,0.006600660066006601,0.0028328611898017,0.003131524008350731,0,0.0,0.0,0.0,0.0,7.0,0.0,2.75,0.0,0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,2.75,0,4.083333333333333,0.0,0,0,0,0.0,2.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
