Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,HUN,0.08130081300813008,0.06140350877192982,0.04132231404958678,0.061452513966480445,0,0,0.0,0.0,1.0,26.5,0.0,5.5,0.0,0,0.0,1.5,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,20.25,0,41.0,0,0.0,0.0,0,0.0,0.0,4.0,0.0,0,0.0,2.6666666666666665,0,0,0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,3.75
1968,HUN,0.06896551724137931,0.07246376811594203,0.07894736842105263,0.0735632183908046,0,0,0.0,0.0,0.0,14.666666666666666,0.0,10.5,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,23.291666666666668,0,50.333333333333336,0,0.0,0.0,0,0.0,0.0,5.25,7.0,0,0.0,1.5,0,0,0,0.0,0.0,0.0,0.0,0,0.0,3.666666666666666,1.25,3.75
1972,HUN,0.041379310344827586,0.07738095238095238,0.0851063829787234,0.06986027944111776,0,0,0.0,0.0,0.625,19.25,0.0,4.916666666666666,0.0,0,0.0,5.166666666666666,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,25.291666666666664,0,35.0,0,0.0,0.0,0,0.0,0.0,4.166666666666666,3.6666666666666665,0,0.0,1.5,0,0,0,0.0,0.0,0.0,0.0,0,0.0,6.75,2.25,5.083333333333333
1976,HUN,0.026845637583892617,0.03164556962025317,0.0718232044198895,0.045081967213114756,0,0,0.0,0.0,0.125,28.0,0.0,1.0,0.0,0,0.0,1.5,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,14.999999999999998,0,0.0,0,0.0,0.0,0,14.0,1.0,1.5,0.0,0,0.0,1.0833333333333333,0,0,0,0.0,0.0,0.0,0.0,0,0.0,6.416666666666667,2.5,2.0
1988,HUN,0.05913978494623656,0.029556650246305417,0.027522935779816515,0.03789126853377265,0,0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,18.0,0,0.0,0,0.0,0.0,0,0.0,0.0,5.5,0.0,0,0.0,1.3333333333333333,0,0,0,0.0,0.0,0.0,0.0,0,0.0,4.0,0.0,5.0
1992,HUN,0.05116279069767442,0.0547945205479452,0.026022304832713755,0.04267425320056899,0,0,0.0,0.0,8.583333333333332,0.0,0.0,0.0,0.0,0,0.0,3.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,15.75,0,0.0,0,0.0,0.0,0,0.0,6.0,1.75,0.0,0,0.0,0.16666666666666666,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.0
1996,HUN,0.025830258302583026,0.014652014652014652,0.03355704697986577,0.02494061757719715,0,0,0.0,0.0,5.208333333333333,0.0,0.0,3.0,0.0,0,0.0,2.5,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,6.5,0,0.0,0,0.0,0.0,0,16.0,3.333333333333333,2.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,2.5
2000,HUN,0.02666666666666667,0.02,0.009174311926605505,0.018338727076591153,0,0,0.0,0.0,2.444444444444444,28.5,0.0,0.0,0.0,0,0.0,0.5,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,2.0,0,0.0,0,0.0,0.0,0,27.0,1.8333333333333333,2.0,0.0,0,0.0,0.5,0,0,0,0.0,0.0,0.0,0.0,0,0.0,2.5,0.0,2.0
2004,HUN,0.026578073089700997,0.02,0.009230769230769232,0.0183585313174946,0,0,0.0,0.0,2.5694444444444446,33.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,4.75,0,0.0,0,0.0,0.0,0,5.0,0.75,2.5,1.5,0,0.0,1.3333333333333333,0,0,0,0.0,0.0,0.0,0.0,0,0.0,2.5,0.0,1.5
2008,HUN,0.009933774834437087,0.0165016501650165,0.0056657223796034,0.010438413361169102,0,0,0.0,0.0,1.75,35.5,0.0,0.6666666666666666,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,2.583333333333333,0,0.0,0,0.0,0.0,0,1.3333333333333333,0.0,1.6666666666666665,1.5,0,0.0,1.3333333333333333,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.5,2.0
2012,HUN,0.026402640264026403,0.013114754098360656,0.017045454545454544,0.01875,0,0,0.0,0.0,1.8625,17.625,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0.0,1.8333333333333333,0,0.0,0,0.0,0.0,0,0.0,1.1666666666666665,1.0,1.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,2.0
