Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,ITA,0.08130081300813008,0.08771929824561403,0.05785123966942149,0.07541899441340782,0,0.0,1.0,0.0,0.0,11.5,0.0,2.333333333333333,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.75,2.5,16.708333333333336,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,13.5,0,1.25,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,1.3333333333333333
1968,ITA,0.020689655172413793,0.028985507246376812,0.05921052631578947,0.0367816091954023,0,0.0,1.75,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,3.5,2.25,8.791666666666666,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,17.5,0,3.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,ITA,0.034482758620689655,0.017857142857142856,0.05319148936170213,0.03592814371257485,0,0.0,2.166666666666667,0.0,0.6666666666666666,1.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.625,3.2083333333333335,7.916666666666667,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0
1976,ITA,0.013422818791946308,0.04430379746835443,0.022099447513812154,0.02663934426229508,0,0.0,2.5,0.0,0.0,15.0,0.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.625,1.125,12.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0,0.5,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1988,ITA,0.03225806451612903,0.019704433497536946,0.01834862385321101,0.023064250411861616,0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,12.5,0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1992,ITA,0.027906976744186046,0.0228310502283105,0.02973977695167286,0.02702702702702703,0,0.0,0.0,0.0,0.5833333333333333,27.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,13.5,0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.5,12.5,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
1996,ITA,0.04797047970479705,0.03663003663003663,0.040268456375838924,0.04156769596199525,0,0.0,0.0,0.0,0.3333333333333333,16.5,1.1666666666666665,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,16.083333333333332,0,0.0,0.0,0.0,0.0,0.0,0,4.0,0.0,8.666666666666668,0,0.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.999999999999996,0.0,0.0,0.0
2000,ITA,0.043333333333333335,0.02666666666666667,0.039755351681957186,0.036677454153182305,0,0.0,0.0,0.0,4.711111111111111,7.333333333333333,1.8333333333333333,5.166666666666667,0.0,0.0,0.0,0.5,0.0,0.0,1.3333333333333333,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.875000000000002,0,0.0,0.0,0.0,0.0,0.0,0,6.5,0.0,16.666666666666668,0,2.333333333333333,3.9166666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,0.0,0.0,0.0
2004,ITA,0.03322259136212625,0.03666666666666667,0.033846153846153845,0.03455723542116631,0,0.0,0.0,0.0,3.538888888888889,42.083333333333336,2.333333333333333,6.083333333333333,0.0,0.0,19.0,1.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.333333333333334,0,16.0,0.0,0.0,12.0,0.0,0,1.6666666666666665,0.0,12.916666666666668,0,1.25,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.833333333333336,0.0,0.0,0.0
2008,ITA,0.026490066225165563,0.0297029702970297,0.028328611898016998,0.028183716075156576,0,0.0,0.0,0.0,1.5166666666666666,11.583333333333332,2.9166666666666665,6.249999999999999,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.416666666666666,0,0.0,0.0,0.0,5.0,0.0,0,5.5,0.0,10.416666666666668,0,2.75,7.666666666666666,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.5,0.0,0.0,1.5
