Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1968,JAM,0.0,0.007246376811594203,0.0,0.0022988505747126436,0,0,0.0,0,0.0,0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
1972,JAM,0.0,0.0,0.005319148936170213,0.001996007984031936,0,0,0.0,0,0.0,0,0,1.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
1976,JAM,0.006711409395973154,0.006329113924050633,0.0,0.004098360655737705,0,0,0.0,0,0.0,0,0,0.8333333333333334,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
1988,JAM,0.0,0.009852216748768473,0.0,0.0032948929159802307,0,0,0.0,0,0.0,0,0,8.666666666666666,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
1992,JAM,0.0,0.0136986301369863,0.0037174721189591076,0.005689900426742532,0,0,0.0,0,0.0,0,0,3.666666666666666,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
1996,JAM,0.0036900369003690036,0.01098901098901099,0.006711409395973154,0.007125890736342043,0,0,0.0,0,0.0,0,0,11.472222222222221,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
2000,JAM,0.0,0.02,0.009174311926605505,0.009708737864077669,0,0,0.0,0,0.0,0,0,22.541666666666668,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
2004,JAM,0.006644518272425249,0.0033333333333333335,0.006153846153846154,0.005399568034557235,0,0,0.0,0,0.0,0,0,15.583333333333334,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
2008,JAM,0.016556291390728478,0.013201320132013201,0.0056657223796034,0.011482254697286013,0,0,0.0,0,0.0,0,0,17.361111111111107,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
2012,JAM,0.013201320132013201,0.01639344262295082,0.011363636363636364,0.013541666666666667,0,0,0.0,0,0.0,0,0,26.430555555555557,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
2016,JAM,0.0196078431372549,0.009771986970684038,0.005571030640668524,0.01131687242798354,0,0,0.0,0,0.0,0,0,38.94444444444445,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
2020,JAM,0.011764705882352941,0.0029585798816568047,0.009950248756218905,0.008333333333333333,0,0,0.0,0,0.0,0,0,25.902777777777775,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
2024,JAM,0.003048780487804878,0.009174311926605505,0.005208333333333333,0.005774783445620789,0,0,0.0,0,0.0,0,0,13.999999999999998,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0,0,0.0,0,0
