Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,KOR,0.0,0.017543859649122806,0.008264462809917356,0.008379888268156424,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0
1968,KOR,0.0,0.007246376811594203,0.006578947368421052,0.004597701149425287,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1972,KOR,0.0,0.005952380952380952,0.0,0.001996007984031936,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1976,KOR,0.006711409395973154,0.006329113924050633,0.022099447513812154,0.012295081967213115,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9.5,0.0,4.0,0.0
1988,KOR,0.06451612903225806,0.04926108374384237,0.05045871559633028,0.054365733113673806,1,0.0,0.0,0,0.5,0.0,13.0,0.0,0.0,0,0.0,9.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,62.0,7.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0,7.0,0.0,0.0,0.0,0,0.0,3.0,7.0,8.0
1992,KOR,0.05581395348837209,0.0228310502283105,0.04460966542750929,0.041251778093883355,0,0.0,0.0,0,0.0,0.0,7.75,3.0,16.0,0,0.0,2.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,44.0,7.0,0.0,0.0,0.0,0.0,4.75,0,0.0,0,5.5,0.0,0.0,0.0,0,0.0,2.5,5.0,5.0
1996,KOR,0.025830258302583026,0.054945054945054944,0.016778523489932886,0.032066508313539195,0,0.0,0.0,0,0.0,0.0,9.5,2.0,11.25,0,0.0,1.5,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,32.5,15.0,0.0,0.0,0.0,0.0,2.1666666666666665,0,0.0,0,3.5,0.0,0.0,0.0,0,0.0,1.6666666666666667,6.666666666666667,3.0
2000,KOR,0.02666666666666667,0.03333333333333333,0.03058103975535168,0.030204962243797196,0,0.0,0.0,0,0.0,0.0,11.0,2.5,3.75,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.125,0,0.5,0.0,0.0,0.0,0,5.666666666666667,8.0,0.0,0.0,0.0,0.0,2.375,0,0.0,0,1.8333333333333333,11.0,0.0,0.0,0,0.0,0.0,4.5,5.0
2004,KOR,0.029900332225913623,0.04,0.027692307692307693,0.032397408207343416,0,0.0,0.0,0,1.0,0.0,12.083333333333332,3.1666666666666665,7.166666666666667,0,0.0,1.5,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,25.083333333333332,6.25,0.0,0.0,0.0,0.0,3.0,0,0.0,0,3.125,8.0,0.0,0.0,0,0.0,3.5,2.0,4.0
2008,KOR,0.04304635761589404,0.036303630363036306,0.0226628895184136,0.033402922755741124,0,0.0,0.0,0,0.8333333333333334,0.0,11.25,0.5,5.333333333333334,0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,16.25,7.833333333333334,0.0,0.0,0.0,0.0,2.5,0,0.0,0,2.833333333333333,11.0,0.0,0.0,0,0.0,8.5,0.0,2.5
2012,KOR,0.0429042904290429,0.029508196721311476,0.02556818181818182,0.03229166666666667,0,0.0,0.0,0,1.0,0.0,10.166666666666668,0.0,1.5,0,0.0,1.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,16.416666666666668,0,16.5,0.0,0.0,0.0,0,4.166666666666666,8.0,0.0,0.0,0.0,0.0,5.666666666666666,0,0.0,0,2.7083333333333335,5.833333333333334,0.0,0.0,0,0.0,4.666666666666667,0.0,4.0
2016,KOR,0.029411764705882353,0.009771986970684038,0.025069637883008356,0.021604938271604937,0,0.0,0.0,0,0.75,0.0,13.0,0.0,2.1666666666666665,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,8.208333333333332,0,0.0,3.0,0.0,0.0,0,2.5,5.0,0.0,0.0,0.0,0.0,3.75,0,0.0,0,0.3333333333333333,9.833333333333334,0.0,0.0,0,0.0,1.5,0.0,2.0
2020,KOR,0.01764705882352941,0.011834319526627219,0.024875621890547265,0.018518518518518517,0,0.0,0.0,0,0.0,0.0,11.0,0.0,2.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,18.0,0,0.0,0.0,3.2,0.0,0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0,0.0,0,0.0,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024,KOR,0.039634146341463415,0.027522935779816515,0.026041666666666668,0.030798845043310877,0,0.0,0.0,0,0.16666666666666666,0.0,13.0,0.0,7.0,0,0.0,0.5,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,15.5,0,0.0,0.0,0.1,0.0,0,0.0,7.0,1.5,0.0,0.0,0.0,9.0,0,0.0,0,2.083333333333333,7.5,0.0,0.0,0,0.0,2.0,0.0,0.0
