Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,MEX,0.0,0.0,0.008264462809917356,0.002793296089385475,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,MEX,0.020689655172413793,0.021739130434782608,0.019736842105263157,0.020689655172413793,1,0.0,0.6666666666666666,0.0,1.2,0.0,0.0,1.0,0.0,0,0.0,8.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,MEX,0.0,0.005952380952380952,0.0,0.001996007984031936,0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,2.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,MEX,0.006711409395973154,0.0,0.0055248618784530384,0.004098360655737705,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,MEX,0.0,0.0,0.009174311926605505,0.0032948929159802307,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,MEX,0.0,0.0045662100456621,0.0,0.001422475106685633,0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,MEX,0.0,0.0,0.003355704697986577,0.0011876484560570072,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,MEX,0.0033333333333333335,0.006666666666666667,0.009174311926605505,0.006472491909385114,0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,2.8333333333333335,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
2004,MEX,0.0,0.01,0.003076923076923077,0.004319654427645789,0,0.0,0.25,0.0,0.0,0.0,0.0,1.8333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,MEX,0.006622516556291391,0.0,0.0056657223796034,0.0041753653444676405,0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,MEX,0.0033003300330033004,0.009836065573770493,0.011363636363636364,0.008333333333333333,0,0.0,4.333333333333334,0.0,0.0,0.0,0.75,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,46.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,MEX,0.0,0.009771986970684038,0.005571030640668524,0.0051440329218107,0,0.0,2.5416666666666665,0.0,0.0,0.0,0.3333333333333333,2.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,MEX,0.0,0.0,0.009950248756218905,0.003703703703703704,0,0.0,1.0,0.0,0.0,0.0,0.8333333333333333,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,22.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024,MEX,0.0,0.009174311926605505,0.005208333333333333,0.004812319538017324,0,0.0,2.25,0.0,0.0,0.0,1.0833333333333333,0.0,0.0,0,0.0,2.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
