Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,NED,0.016260162601626018,0.03508771929824561,0.03305785123966942,0.027932960893854747,0,0.0,0.0,0.0,7.916666666666666,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,9.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1968,NED,0.020689655172413793,0.021739130434782608,0.006578947368421052,0.016091954022988506,0,0.0,0.0,0.0,2.25,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,14.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1972,NED,0.020689655172413793,0.005952380952380952,0.005319148936170213,0.00998003992015968,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,3.0,0.0,1.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1976,NED,0.0,0.012658227848101266,0.016574585635359115,0.010245901639344262,0,0.0,0.0,0.0,0.2,7.833333333333333,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1988,NED,0.010752688172043012,0.009852216748768473,0.022935779816513763,0.014827018121911038,0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,6.0,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1992,NED,0.009302325581395349,0.0273972602739726,0.026022304832713755,0.021337126600284494,0,0.0,0.0,0.0,1.2,0.0,0.0,3.0,0.0,0.0,0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.0,0.0,5.5,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,4.0,0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0
1996,NED,0.014760147601476014,0.018315018315018316,0.03355704697986577,0.022565320665083134,0,0.0,0.0,0.0,1.0222222222222221,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.166666666666666,0.0,1.75,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2.5,0.0,25.416666666666668,0,2.8333333333333335,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,29.500000000000004,0.0,0.0,0
2000,NED,0.04,0.03,0.012232415902140673,0.02696871628910464,0,0.0,0.0,0.0,6.841666666666666,0.0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4.041666666666667,0.0,3.25,0.0,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,26.0,0,2.25,0.0,0.0,0,0,0.0,0.0,2.0,0.0,0.0,8.25,0.0,0.0,0
2004,NED,0.013289036544850499,0.03,0.027692307692307693,0.023758099352051837,0,0.0,0.0,0.0,9.45,0.0,0.25,0.0,0.5,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,2.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,4.166666666666667,0.0,27.666666666666664,0,1.3333333333333333,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
2008,NED,0.023178807947019868,0.0165016501650165,0.0113314447592068,0.016701461377870562,0,0.0,0.0,0.0,10.868055555555555,33.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,3.625,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,6.583333333333333,0.0,21.083333333333332,0,9.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0
