Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,NGR,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
1968,NGR,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
1972,NGR,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
1988,NGR,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
1992,NGR,0,0,0,0,0,0,0,0,0.0,0,0,6.5,0.0,0,0.0,4.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
1996,NGR,0,0,0,0,0,0,0,0,0.0,0,0,7.777777777777778,0.0,0,0.0,1.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,48.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2000,NGR,0,0,0,0,0,0,0,0,0.0,0,0,13.916666666666666,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,2.0,0.0,0.0
2004,NGR,0,0,0,0,0,0,0,0,0.0,0,0,7.083333333333334,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2008,NGR,0,0,0,0,0,0,0,0,0.0,0,0,4.583333333333333,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,32.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.5,0.0,0,0,0,0.0,0.0,0.0
2012,NGR,0,0,0,0,0,0,0,0,0.0,0,0,0.6111111111111112,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.3333333333333333,0.0,0,0,0,0.0,0.0,0.0
2016,NGR,0,0,0,0,0,0,0,0,0.0,0,0,0.8333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,18.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
2020,NGR,0,0,0,0,0,0,0,0,0.0,0,0,0.25,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.6666666666666666,0.0
2024,NGR,0,0,0,0,0,0,0,0,0.0,0,0,0.16666666666666666,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.5,0.0
