Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,NOR,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1968,NOR,0.006896551724137931,0.007246376811594203,0.0,0.004597701149425287,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,4.5,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1972,NOR,0.013793103448275862,0.005952380952380952,0.005319148936170213,0.007984031936127744,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,4.0,0,1.6666666666666667,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1.5,0.0,0.0
1976,NOR,0.006711409395973154,0.006329113924050633,0.0,0.004098360655737705,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,8.0,0,0.6666666666666666,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
1988,NOR,0.010752688172043012,0.014778325123152709,0.0,0.008237232289950576,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,28.0,0.0,0,8.5,0,4.0,3.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0
1992,NOR,0.009302325581395349,0.0182648401826484,0.0037174721189591076,0.00995732574679943,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,28.0,0.0,0,7.0,0,4.0,1.8333333333333333,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,3.0
1996,NOR,0.007380073800738007,0.007326007326007326,0.010067114093959731,0.00831353919239905,0,0,0.0,0,0.0,0,0.0,1.8333333333333333,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,16.0,0.0,0.0,0,0,6.333333333333333,0.0,0,4.0,0,2.5,0.2222222222222222,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0
2000,NOR,0.013333333333333334,0.01,0.009174311926605505,0.010787486515641856,0,0,0.0,0,0.0,0,0.0,4.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,46.0,0.0,0.0,0,0,13.5,0.0,0,4.333333333333333,0,1.75,0.29166666666666663,0,0,0,0,2.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2004,NOR,0.016611295681063124,0.0,0.003076923076923077,0.0064794816414686825,0,0,0.0,0,0.0,0,0.0,4.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0,1.6666666666666667,0,1.8333333333333333,0.29166666666666663,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2008,NOR,0.009933774834437087,0.0165016501650165,0.0028328611898017,0.009394572025052192,0,0,0.0,0,0.8333333333333333,0,0.0,4.333333333333333,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0,1.5,0.0,0.0,0,0,39.333333333333336,0.0,0,2.0,0,1.25,2.0,0,0,0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2012,NOR,0.006600660066006601,0.003278688524590164,0.002840909090909091,0.004166666666666667,0,0,0.0,0,0.16666666666666666,0,0.0,2.0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,2.0,0,0.0,0.0,0.0,0,0,42.0,0.0,0,2.0,0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
