Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,NZL,0.024390243902439025,0.0,0.01652892561983471,0.013966480446927373,0,0.0,0.0,0,0.0,0,0.0,5.75,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,7.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1968,NZL,0.006896551724137931,0.0,0.013157894736842105,0.006896551724137931,0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,13.5,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1972,NZL,0.006896551724137931,0.005952380952380952,0.005319148936170213,0.005988023952095809,0,0.0,0.0,0,0.0,0,0.0,1.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,33.66666666666667,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1976,NZL,0.013422818791946308,0.006329113924050633,0.0055248618784530384,0.00819672131147541,0,0.0,0.0,0,0.0,0,0.0,2.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,14.333333333333334,0.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1988,NZL,0.016129032258064516,0.009852216748768473,0.03669724770642202,0.0214168039538715,0,0.0,0.0,0,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.5,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,6.5,0.0,8.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1992,NZL,0.004651162790697674,0.0182648401826484,0.01858736059479554,0.01422475106685633,0,0.0,0.0,0,0.6666666666666666,0,0.0,0.5,0.0,0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,4.25,0.75,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.25,0.0,13.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1996,NZL,0.01107011070110701,0.007326007326007326,0.003355704697986577,0.007125890736342043,0,0.0,0.0,0,0.7619047619047619,0,0.0,0.3333333333333333,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,6.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.5,0.0,7.333333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2000,NZL,0.0033333333333333335,0.0,0.009174311926605505,0.004314994606256742,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.3333333333333335,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.5,0.0,3.833333333333333,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2004,NZL,0.009966777408637873,0.006666666666666667,0.0,0.005399568034557235,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.375,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,6.0,0.0,1.5,0.0,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0,0.0,0.0,0.0
2008,NZL,0.009933774834437087,0.006600660066006601,0.0113314447592068,0.009394572025052192,0,0.0,0.0,0,0.0,0,0.0,2.5,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.41666666666666663,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,8.5,0.0,2.25,0.0,0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0,0.0,0.0,0.0
2012,NZL,0.019801980198019802,0.006557377049180328,0.014204545454545454,0.013541666666666667,0,0.0,0.0,0,0.0,0,0.0,2.6666666666666665,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,1.75,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10.666666666666666,0.0,7.5,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0
2016,NZL,0.013071895424836602,0.029315960912052116,0.013927576601671309,0.018518518518518517,0,0.0,0.0,0,0.0,0,0.0,4.75,0.0,0,0.0,0.0,0,0.0,0.6666666666666666,0,0.0,0.0,0.0,0,0.0,0.41666666666666663,0.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0,0.0,0,7.916666666666667,24.0,13.333333333333332,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
2020,NZL,0.020588235294117647,0.01775147928994083,0.017412935323383085,0.018518518518518517,0,0.0,0.0,0,0.0,0,0.0,2.0,0.0,0,0.0,1.0,0,2.916666666666667,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.5,0,0.0,0,41.5,57.0,5.583333333333334,1.0,0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0,0.0,0.0,0.0
