Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,POL,0.056910569105691054,0.05263157894736842,0.08264462809917356,0.06424581005586592,0,0,0.0,0.0,0.0,0,0.0,14.444444444444445,0.0,0.0,0.0,13.833333333333332,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,10.895833333333332,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.8125,0,0.0,0.6666666666666666,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,10.0,5.166666666666667,0.0,0.0
1968,POL,0.034482758620689655,0.014492753623188406,0.07236842105263158,0.041379310344827586,0,0,0.0,0.0,0.0,0,0.0,4.916666666666667,0.0,0.0,0.0,10.833333333333332,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,8.854166666666668,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,12.0,5.75,0.0,0.0
1972,POL,0.04827586206896552,0.02976190476190476,0.047872340425531915,0.041916167664670656,0,0,0.0,0.0,0.0,0,2.0,3.444444444444444,0.0,0.0,0.0,6.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,11.770833333333334,0,51.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666666,0.0,1.3333333333333333
1976,POL,0.04697986577181208,0.0379746835443038,0.0718232044198895,0.05327868852459016,0,0,0.0,0.0,0.0,0,1.0,11.041666666666668,0.0,0.0,0.0,7.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,0,37.5,0.0,0.0,0.0,0,10.5,0.5,0.75,0.0,0,0.0,2.833333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,24.5,5.0,0.0,3.0
1988,POL,0.010752688172043012,0.024630541871921183,0.04128440366972477,0.026359143327841845,0,0,0.0,0.0,0.3333333333333333,0,0.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,5.0,0.0,0.0,0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0
1992,POL,0.013953488372093023,0.0273972602739726,0.03717472118959108,0.02702702702702703,0,0,0.0,0.0,0.6666666666666666,0,0.0,0.5,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,3.0,0,32.0,0.0,0.0,0.0,0,0.0,3.0,3.75,4.5,0,0.0,0.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0
1996,POL,0.025830258302583026,0.018315018315018316,0.016778523489932886,0.020190023752969122,0,0,0.0,0.0,0.3333333333333333,0,1.1666666666666665,1.75,0.0,0.0,0.0,0.5,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,4.583333333333334,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0.5,1.0,0,3.0,3.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,7.833333333333333
2000,POL,0.02,0.016666666666666666,0.009174311926605505,0.015102481121898598,0,0,0.0,0.0,0.0,0,0.125,6.0,0.0,0.0,0.0,0.3333333333333333,0,0.0,1.3333333333333333,0,0,0.0,0.0,0,0.0,0.0,0.0,4.333333333333333,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,4.5,0,1.5,1.1666666666666667,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,4.666666666666667,0.0,3.25
2004,POL,0.009966777408637873,0.006666666666666667,0.015384615384615385,0.01079913606911447,0,0,0.0,0.0,1.1666666666666667,0,0.25,5.375,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.0,0,1.3333333333333333,0.875,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,1.5
2008,POL,0.013245033112582781,0.0165016501650165,0.0056657223796034,0.011482254697286013,0,0,0.0,0.0,0.7777777777777778,0,0.16666666666666666,5.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,6.166666666666667,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,14.0,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0
2012,POL,0.009900990099009901,0.006557377049180328,0.017045454545454544,0.011458333333333333,0,0,0.0,0.0,0.5833333333333334,0,0.0,5.083333333333333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.5,0,0.8333333333333333,0.3333333333333333,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,1.0
2016,POL,0.006535947712418301,0.009771986970684038,0.016713091922005572,0.01131687242798354,0,0,0.0,0.0,0.0,0,0.0,5.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,7.0,0,0.0,0.25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.8333333333333333,0.0
2020,POL,0.011764705882352941,0.014792899408284023,0.012437810945273632,0.012962962962962963,0,0,0.0,0.0,0.0,0,0.0,33.91666666666667,0.0,0.0,0.0,0.0,0,3.6666666666666665,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,0,1.6666666666666665,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2024,POL,0.003048780487804878,0.012232415902140673,0.013020833333333334,0.009624639076034648,0,0,0.0,0.0,0.0,0,0.0,10.249999999999998,0.0,0.0,0.0,2.0,0,1.625,0.3333333333333333,0,0,0.0,0.0,0,0.0,0.0,0.0,1.75,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.8333333333333333,0,0.0,0.0,0.0,2.5,0,0.0,0.0,0.5,0.0,0.0,16.166666666666664,0.0,0.0,0.0
