Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,ROU,0.016260162601626018,0.03508771929824561,0.049586776859504134,0.0335195530726257,0,0,0.0,0,0.0,0.0,0.0,5.5,0.0,0.0,0,1.1666666666666665,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.9166666666666666,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,3.5,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,4.0
1968,ROU,0.027586206896551724,0.043478260869565216,0.03289473684210526,0.034482758620689655,0,0,0.0,0,0.0,0.0,0.0,7.25,0.0,0.0,0,2.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,2.625,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,2.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,3.833333333333333
1972,ROU,0.020689655172413793,0.03571428571428571,0.03723404255319149,0.031936127744510975,0,0,0.0,0,0.0,0.0,0.0,5.75,0.0,0.0,0,1.5,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,1.5833333333333333,0,0.0,0,0.0,0.0,0,15.0,0.0,0.0,1.5,0,0.0,2.875,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,1.0,6.833333333333333
1976,ROU,0.026845637583892617,0.056962025316455694,0.07734806629834254,0.055327868852459015,0,0,0.0,0,0.0,0.0,0.0,3.0,0.0,0.0,0,6.166666666666666,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,4.25,0,0.0,0,0.0,0.0,0,23.0,0.0,0.0,5.333333333333334,0,0.0,0.625,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,2.5,8.5
1988,ROU,0.03763440860215054,0.054187192118226604,0.027522935779816515,0.039538714991762765,0,0,0.0,0,1.0,0.0,0.0,2.5,0.0,0.0,0,2.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,40.5,0,0.0,1.5,0,0,0,0.0,0,0.0,0.0,0,0.0,2.0,3.0,0.0
1992,ROU,0.018604651162790697,0.0273972602739726,0.02973977695167286,0.025604551920341393,0,0,0.0,0,0.5,0.0,0.0,1.0,0.0,0.0,0,2.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,3.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,48.5,0,0.0,1.0,0,0,0,0.0,0,0.0,0.0,0,0.0,1.5,0.0,1.0
1996,ROU,0.014760147601476014,0.02564102564102564,0.030201342281879196,0.023752969121140142,0,0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0,2.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,3.25,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,37.83333333333333,0,0.0,0.6666666666666666,0,0,0,0.0,0,0.0,0.0,0,0.0,1.3333333333333333,0.0,0.0
2000,ROU,0.03666666666666667,0.02,0.027522935779816515,0.028047464940668825,0,0,0.0,0,1.45,0.0,0.0,4.0,0.0,0.0,0,2.5,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,2.291666666666667,0,0.0,0,0.0,0.0,0,0.0,0.3333333333333333,0.0,31.416666666666668,0,0.0,0.6666666666666666,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2004,ROU,0.026578073089700997,0.016666666666666666,0.018461538461538463,0.020518358531317494,0,0,0.0,0,0.8125,0.0,0.0,3.833333333333333,0.0,0.0,0,2.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,1.875,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,29.375,0,0.0,0.25,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2008,ROU,0.013245033112582781,0.0033003300330033004,0.0113314447592068,0.009394572025052192,0,0,0.0,0,0.41666666666666663,0.0,0.0,3.25,0.0,0.0,0,0.5,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,1.625,0,0.0,0,0.0,0.0,0,0.0,1.5,0.0,17.666666666666664,0,0.0,0.125,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0
2012,ROU,0.006600660066006601,0.013114754098360656,0.002840909090909091,0.007291666666666667,0,0,0.0,0,0.1875,0.0,0.0,1.5,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,5.166666666666667,0,0.0,0,0.0,0.0,0,0.0,3.666666666666667,0.0,5.833333333333333,0,0.0,1.5,0,0,0,0.0,0,0.0,0.0,0,0.0,1.5,0.0,0.0
2016,ROU,0.0032679738562091504,0.003257328990228013,0.005571030640668524,0.00411522633744856,0,0,0.0,0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,5.125,0,0.0,0,0.0,0.0,0,0.0,1.0,0.0,6.833333333333333,0,0.0,1.0,0,0,0,0.0,0,2.5,0.0,0,0.0,0.0,1.0,0.0
2020,ROU,0.0029411764705882353,0.008875739644970414,0.0,0.003703703703703704,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,2.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,17.166666666666664,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.5,0.0
2024,ROU,0.009146341463414634,0.012232415902140673,0.005208333333333333,0.008662175168431183,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.14285714285714285,0.0,0,0.0,0.0,0.0,27.5,0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0,0.0,2.0,0.0,0.0
