Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1988,SUD,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
1992,SUD,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
1996,SUD,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2000,SUD,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2004,SUD,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2008,SUD,0,0,0,0,0,0,0,0,0.0,0,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2012,SUD,0,0,0,0,0,0,0,0,0.0,0,0,0.6666666666666666,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2016,SUD,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2020,SUD,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
2024,SUD,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0
