Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,3.125,0.0,0.0,0.16666666666666666,0,0.0,0.0,0.0,0,0.0,0.0,2.0,0.0,0.5,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1968,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,2.625,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,3.8333333333333335,0,6.0,0.16666666666666666,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1972,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.75,0.0,6.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.5,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1976,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,3.25,0.0,0.0,4.5,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.3333333333333333,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1988,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,1.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,5.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1992,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.5,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1.5,0.0,0.0,0,0.0,0.0,0.0
1996,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.75,0.0,0.5,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.166666666666666,0,0.0,0.0,0,0.0,0,0.0,0.0,0.75,0.0,0.0,0,0.0,0.0,0.0
2000,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,1.9166666666666665,3.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.666666666666667,0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0
2004,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.25,1.5,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2.5,2.0,0,0.0,0.0,0.0
2008,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.5,0.5,0,0.0,0.0,0.0,0,0.0,0.0,0.3333333333333333,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,2.0,1.0,0.5,0,0.0,0.0,0.0
2012,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.9166666666666666,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,1.375,1.3333333333333333,0.3333333333333333,0,0.0,0.0,0.0
2016,SUI,0,0,0,0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.0,0,0.0,0.25,0,0.0,0,0.0,0.0,2.5,1.5,0.0,0,0.0,0.0,0.0
2020,SUI,0,0,0,0,0,0,0.0,0,0.5833333333333333,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,1.0,0.0,7.5,1.0,0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.06666666666666667,0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0,0.0,0.0,3.5,0.0,1.5,0,0.0,0.0,0.0
2024,SUI,0,0,0,0,0,0,0.0,0,0.45833333333333326,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.5,0.5,3.25,0.0,0,0.0,0.0,0.625,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0,0.0,4.666666666666667,0,0.0,0,0.0,0.0,0.5,2.0,2.0,0,0.0,0.0,0.0
