Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,SWE,0.016260162601626018,0.017543859649122806,0.03305785123966942,0.0223463687150838,0,0,0.0,0,0.0,0,0.0,1.375,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.6666666666666666,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,9.5,0.16666666666666666,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
1968,SWE,0.013793103448275862,0.007246376811594203,0.006578947368421052,0.009195402298850575,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.5,0.0,0,10.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333
1972,SWE,0.027586206896551724,0.03571428571428571,0.031914893617021274,0.031936127744510975,0,0,2.5,0,0.6,0,2.0,0.5,0.0,0,0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,1.5,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.75,0.0,0,15.5,3.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.4166666666666665
1976,SWE,0.026845637583892617,0.006329113924050633,0.0,0.010245901639344262,0,0,1.75,0,0.0,0,1.0,1.3333333333333333,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,6.75,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,4.5,1.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1988,SWE,0.0,0.019704433497536946,0.03211009174311927,0.018121911037891267,0,0,0.0,0,0.6,0,0.0,1.0,0.0,0,0,3.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,4.0,0.5,0.0,0,0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0
1992,SWE,0.004651162790697674,0.0319634703196347,0.01486988847583643,0.017069701280227598,0,0,0.0,0,3.675,0,0.0,1.5,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,25.0,0.0,0.0,1.0,0,0.0,0.75,0.0,0,0,1.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,2.5
1996,SWE,0.007380073800738007,0.014652014652014652,0.006711409395973154,0.009501187648456057,0,0,0.0,0,4.7,0,1.0,3.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,27.499999999999996,0.0,0.0,0.0,0,2.0,0.5,0.0,0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2000,SWE,0.013333333333333334,0.016666666666666666,0.009174311926605505,0.012944983818770227,0,0,0.0,0,4.166666666666667,0,0.5,0.5,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,28.166666666666668,0.0,0.0,0.0,0,1.0,3.0,0.0,0,0,0.625,0.0,0.75,0.0,0.0,0.0,0.0,0.0,1.3333333333333333
2004,SWE,0.013289036544850499,0.006666666666666667,0.003076923076923077,0.00755939524838013,0,0,0.0,0,2.541666666666667,0,0.3333333333333333,4.5,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.6666666666666665,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.75,1.5,0.0,0,0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2008,SWE,0.0,0.013201320132013201,0.0028328611898017,0.005219206680584551,0,0,0.0,0,1.152777777777778,0,0.25,1.75,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,1.8333333333333333,0.0,0.0,0,0,0.0,0.0,2.3333333333333335,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
2012,SWE,0.0033003300330033004,0.013114754098360656,0.008522727272727272,0.008333333333333333,0,0,0.0,0,0.6666666666666667,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.5,0.6666666666666666,0.0,0,0.0,0.0,0.0,0,0,27.0,0.0,0.0,0.0,0,4.75,0.6666666666666666,0.0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
2016,SWE,0.006535947712418301,0.019543973941368076,0.008356545961002786,0.01131687242798354,0,0,0.0,0,0.2857142857142857,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.3333333333333333,2.0,0.0,0,24.500000000000004,2.0,0.0,0,0,5.666666666666666,0.0,0.0,0.0,0,1.5,1.5,0.0,0,0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.5
2020,SWE,0.008823529411764706,0.01775147928994083,0.0,0.008333333333333333,0,0,0.0,0,0.4,0,0.0,8.0,0.0,0,0,0.0,0,0.0,0.0,0,0,1.5,0.0,0,0.0,0.0,7.75,0.0,0,43.33333333333333,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,4.166666666666666,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,SWE,0.012195121951219513,0.012232415902140673,0.0078125,0.010587102983638113,0,0,0.0,0,0.95,0,0.0,4.5,0.0,0,0,0.0,0,0.0,0.0,0,0,1.3333333333333333,0.0,0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0.0,0,5.75,1.0,0.0,0,0,3.3333333333333335,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
