Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,THA,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
1968,THA,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
1972,THA,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
1976,THA,0.0,0.0,0.0055248618784530384,0.0020491803278688526,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
1988,THA,0.0,0.0,0.0045871559633027525,0.0016474464579901153,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
1992,THA,0.0,0.0,0.0037174721189591076,0.001422475106685633,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
1996,THA,0.0036900369003690036,0.0,0.003355704697986577,0.0023752969121140144,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1.8333333333333333,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0
2000,THA,0.0033333333333333335,0.0,0.0061162079510703364,0.003236245954692557,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,5.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,1.0,0,0
2004,THA,0.009966777408637873,0.0033333333333333335,0.012307692307692308,0.008639308855291577,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,6.75,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,6.5,0,0
2008,THA,0.006622516556291391,0.006600660066006601,0.0056657223796034,0.006263048016701462,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,5.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2.0,0.0,0,0,0,3.5,0,0
2012,THA,0.0,0.006557377049180328,0.005681818181818182,0.004166666666666667,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,2.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,1.0,0.0,0,0,0,2.0,0,0
2016,THA,0.006535947712418301,0.006514657980456026,0.005571030640668524,0.006172839506172839,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,3.0,0.0,0,0,0,9.0,0,0
2020,THA,0.0029411764705882353,0.0,0.0024875621890547263,0.001851851851851852,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,1.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2.0,0.0,0,0,0,0.0,0,0
2024,THA,0.003048780487804878,0.009174311926605505,0.005208333333333333,0.005774783445620789,0,0,0.0,0,0.0,0,0.0,0.0,2.0,0,0,1.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,2.3333333333333335,0.0,0,0,0,5.0,0,0
