Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,TUR,0.016260162601626018,0.02631578947368421,0.008264462809917356,0.01675977653631285,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,9.333333333333332,5.833333333333333
1968,TUR,0.013793103448275862,0.0,0.0,0.004597701149425287,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,4.0,2.5
1972,TUR,0.0,0.005952380952380952,0.0,0.001996007984031936,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,0.0
1976,TUR,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.6666666666666666,0.0
1988,TUR,0.005376344086021506,0.0049261083743842365,0.0,0.0032948929159802307,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,3.0,2.0,0.0
1992,TUR,0.009302325581395349,0.0091324200913242,0.007434944237918215,0.008534850640113799,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,1.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,3.0,3.0,5.0
1996,TUR,0.014760147601476014,0.003663003663003663,0.003355704697986577,0.007125890736342043,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,2.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.5,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0.0,4.5,1.5,6.0
2000,TUR,0.01,0.0,0.0061162079510703364,0.005393743257820928,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,3.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0,0.0,4.25,1.0,3.6666666666666665
2004,TUR,0.009966777408637873,0.01,0.012307692307692308,0.01079913606911447,0,0,0.0,0,0.0,0,0.0,1.0,0.0,0,0.0,2.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,2.0,0.0,0,0,0.0,10.25,0.5,3.6666666666666665
2008,TUR,0.0033112582781456954,0.0033003300330033004,0.0084985835694051,0.005219206680584551,0,0,0.0,0,0.0,0,0.0,1.0,0.0,0,0.0,1.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,4.0,0.0,0,0,0.0,5.5,3.3333333333333335,1.3333333333333333
2012,TUR,0.0033003300330033004,0.003278688524590164,0.002840909090909091,0.003125,0,0,0.0,0,0.0,0,0.0,3.8333333333333335,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,4.666666666666666,0.0,0,0,0.0,0.0,1.5,0.8333333333333333
2016,TUR,0.0032679738562091504,0.009771986970684038,0.011142061281337047,0.00823045267489712,0,0,0.0,0,0.0,0,0.0,1.25,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,2.833333333333333,0.0,0,0,0.0,2.0,4.5,1.5
2020,TUR,0.0058823529411764705,0.005917159763313609,0.022388059701492536,0.012037037037037037,0,0,0.0,0,0.0,0,0.75,0.0,0.0,0,0.0,5.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.5,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,3.0,0.0,0,0,0.0,0.0,1.5,1.0
2024,TUR,0.0,0.009174311926605505,0.013020833333333334,0.007699711260827719,0,0,0.0,0,0.0,0,1.6111111111111112,0.0,0.0,0,0.0,6.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.25,0,0,0,0.0,0.0,0.0,0,0.0,1.1666666666666665,0,0,0,0.0,1.5,0.0,0,0,0.0,0.0,2.333333333333333,0.0
