Year,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1964,USA,0.2926829268292683,0.22807017543859648,0.23140495867768596,0.25139664804469275,0,0.0,15.5,0.0,97.20833333333334,0.0,0.0,57.166666666666664,0.0,0.0,36.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.6666666666666666,0.625,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.5,42.833333333333336,0.0,12.625,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.5,0.0
1968,USA,0.3103448275862069,0.2028985507246377,0.2236842105263158,0.24597701149425288,0,0.0,10.0,0.0,84.325,0.0,0.0,65.70833333333334,0.0,0.0,36.0,10.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.5,1.8333333333333333,0.875,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,15.166666666666668,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,4.0,0.0
1972,USA,0.22758620689655173,0.18452380952380953,0.1595744680851064,0.18762475049900199,0,0.0,3.75,0.0,74.85833333333333,7.333333333333333,6.0,48.791666666666664,0.0,0.0,24.0,6.333333333333334,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.3333333333333333,3.75,4.5,0.0,0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,0.0,12.0,7.583333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.5
1976,USA,0.22818791946308725,0.22151898734177214,0.13812154696132597,0.19262295081967212,0,0.0,9.833333333333334,0.0,59.38333333333334,0.0,6.0,50.25000000000001,0.0,0.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1666666666666667,7.125,0.5,0.16666666666666666,0,0.0,0.0,0.0,0.0,0.0,2.833333333333333,1.0,0.0,14.75,0.0,11.833333333333334,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.5,0.0
1988,USA,0.1935483870967742,0.15270935960591134,0.12385321100917432,0.15485996705107083,0,0.0,6.0,0.0,42.82142857142858,26.0,6.5,61.916666666666664,0.0,0.0,48.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.75,5.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.75,0.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,36.0,0.0,10.0,1.0
1992,USA,0.17209302325581396,0.1552511415525114,0.137546468401487,0.15362731152204837,0,0.0,6.0,0.0,60.02738095238095,7.0,2.0,70.0,0.0,0.0,53.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0,1.75,0.0,1.5,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,19.25,0.0,27.5,1.4166666666666665,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,28.0,0.0,14.0,2.5
1996,USA,0.16236162361623616,0.11721611721611722,0.08389261744966443,0.11995249406175772,1,0.0,4.0,0.0,75.43055555555554,1.3333333333333333,5.25,77.47222222222223,0.0,0.0,69.0,8.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0,1.8333333333333333,6.0,3.1666666666666665,0.0,0,45.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666665,0.0,22.0,0.0,10.333333333333334,5.5,0.0,0.0,0.0,0.0,0.0,9.25,0.0,10.0,8.166666666666666,0.0,12.166666666666666,4.5
2000,USA,0.12333333333333334,0.08,0.09785932721712538,0.10032362459546926,0,0.0,1.5,0.0,81.5,27.5,3.333333333333333,52.10000000000001,0.0,0.0,68.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.875,4.5,0.0,0.0,0,30.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333333,2.0,10.166666666666668,0.0,15.583333333333332,4.833333333333334,0.0,0.0,0.0,0.0,3.0,8.0,1.5,6.0,0.3333333333333333,4.0,7.0,6.0
2004,USA,0.11960132890365449,0.13,0.08,0.10907127429805616,0,0.0,0.75,0.0,62.669444444444444,15.0,1.25,70.59166666666667,0.0,0.0,48.0,4.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0,2.0,3.25,7.0,4.0,0,48.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,38.166666666666664,0.0,5.333333333333334,3.416666666666667,0.0,0.0,0.0,0.0,5.0,2.5,2.0,5.333333333333333,0.25,2.0,10.0,3.1666666666666665
2008,USA,0.11920529801324503,0.12871287128712872,0.1048158640226629,0.11691022964509394,0,0.0,0.5,0.0,59.79861111111112,43.166666666666664,1.0,53.333333333333336,0.0,0.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,2.25,5.5,11.083333333333332,0,50.33333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.75,37.08333333333333,0.0,6.0,8.333333333333332,0.0,0.0,0.0,0.0,5.333333333333334,5.75,1.0,10.333333333333332,37.91666666666667,0.3333333333333333,4.0,1.0
2012,USA,0.15841584158415842,0.08524590163934426,0.08522727272727272,0.10833333333333334,0,0.0,5.625,0.0,73.4313492063492,38.16666666666667,2.5,70.95833333333333,0.0,0.0,70.66666666666667,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.3333333333333333,2.166666666666667,5.166666666666667,0,50.75,0.0,0.0,0.0,0.0,0.0,4.0,0.0,33.333333333333336,0.0,2.5,7.375,0.0,0.0,0.0,0.0,4.25,6.083333333333334,0.0,11.5,27.166666666666664,0.0,7.5,0.0
2016,USA,0.1503267973856209,0.12052117263843648,0.10584958217270195,0.12448559670781893,0,0.0,6.666666666666667,0.0,78.88055555555556,40.33333333333333,2.8333333333333335,81.27083333333333,0.0,0.0,71.5,7.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.6666666666666665,0.16666666666666666,4.125,6.375,0,12.0,1.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,30.333333333333336,0.0,1.0,7.041666666666666,0.0,0.0,0.0,0.0,2.5,6.75,1.5,5.0,25.333333333333332,0.5,8.5,0.0
2020,USA,0.11470588235294117,0.12130177514792899,0.08208955223880597,0.10462962962962963,0,0.0,5.0,0.6666666666666666,58.041666666666664,39.5,1.125,73.14583333333334,0.0,12.0,72.0,7.0,0.0,3.0,0.0,2.0,1.0,0.0,0.3333333333333333,0,1.875,0.125,4.0,4.291666666666666,0,21.916666666666664,6.0,4.0,0.0,0.0,0.0,0.0,0.0,3.4166666666666665,0.0,0.0,9.916666666666666,2.0,2.0,3.0,0.0,3.0,1.25,5.5,5.0,36.66666666666667,3.0,17.0,0.0
2024,USA,0.12195121951219512,0.1345565749235474,0.109375,0.12127045235803657,0,14.666666666666666,3.6666666666666665,0.0,52.91388888888888,15.0,1.1666666666666667,84.1388888888889,0.0,4.0,72.0,1.0,1.0,2.5,0.16666666666666666,2.0,0.0,1.0,0.0,0,0.7083333333333333,0.0,5.0,8.791666666666666,0,50.666666666666664,6.0,4.436904761904762,0.0,0.0,0.0,0.0,0.0,17.833333333333336,8.333333333333332,2.0,4.541666666666666,4.0,2.0,3.0,0.0,1.0,2.583333333333333,0.5,0.0,39.166666666666664,4.0,13.0,0.0
