Year,NOC,Total_rate,Host,SWA,DIV,OWS,SWM,WPO,ARC,ATH,BDM,BK3,BKB,BOX,BKG,CSP,CSL,BMF,BMX,MTB,CRD,CTR,EDR,EVE,EJP,FEN,HOC,FBL,GLF,GAR,GRY,GTR,HBL,JUD,MPN,ROW,RU7,SAL,SHO,SKB,CLB,SRF,TTE,TKW,TEN,TRI,VBV,VVO,WLF,WRF,WRG
1996,CHN,1,0,0.0,8.0,0.0,7.776190476190476,0.0,1.5,6.416666666666667,12.0,0.0,5.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0,30.0,0.0,0.0,0.0,0.0,0.9444444444444443,4.0,0.0,1.5833333333333333,0.0,0.4444444444444444,8.083333333333334,0.0,0.0,0.0,15.444444444444445,0.0,0.0,0.0,0.0,13.5,9.0,0.0,1.0
2000,CHN,1,0,0.0,13.083333333333334,0.0,0.8214285714285714,0.0,0.5,1.75,21.52777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.083333333333333,0,9.75,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,11.791666666666666,0.0,0.0,0.0,17.25,3.0,1.0,0.0,0.0,5.5,18.0,0.0,1.0
2004,CHN,1,0,0.0,15.916666666666666,0.0,4.25,0.0,2.6666666666666665,6.541666666666667,15.805555555555555,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.916666666666667,0,2.3333333333333335,0.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,2.0,15.458333333333334,0.0,0.0,0.0,14.833333333333332,6.0,3.75,0.0,0.0,30.375,20.5,3.0,0.0
2008,CHN,1,1,0.0,21.5,0.0,12.955555555555556,1.6666666666666665,5.0,5.833333333333334,20.037037037037038,0.0,1.25,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.583333333333333,0,2.0,0.0,0.0,9.0,7.5,0.0,10.0,0.0,15.375,0.0,3.5,17.666666666666668,0.0,0.0,0.0,12.0,6.0,2.333333333333333,0.0,4.666666666666666,17.75,26.5,5.666666666666667,2.0
2012,CHN,1,0,0.0,26.52777777777778,0.0,11.572222222222221,0.0,3.5,9.666666666666668,24.083333333333332,0.0,0.375,6.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.4375,0,0.0,0.0,0.0,0.0,7.0,0.0,5.5,1.0,8.791666666666668,0.0,2.0,17.25,0.0,0.0,0.0,15.277777777777779,5.5,0.6041666666666666,0.0,1.0,2.0,20.5,3.5,0.0
2016,CHN,1,0,0.0,29.208333333333332,0.0,4.805555555555555,0.0,0.0,7.666666666666667,14.166666666666666,0.0,0.25,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.5,0,0.0,1.0,0.0,0.0,5.333333333333333,0.0,2.0,0.6666666666666666,3.5,0.0,3.333333333333333,16.916666666666668,0.0,0.0,0.0,17.25,8.0,0.0,0.0,0.0,28.166666666666664,18.5,2.0,0.0
2020,CHN,1,0,16.0,26.0,0.0,13.133333333333333,0.0,0.0,11.0,22.0,4.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.5,0,0.0,0.0,8.583333333333332,0.0,7.0,0.0,0.0,0.0,23.0,0.0,4.0,16.0,0.0,0.0,0.0,18.5,1.0,0.0,0.0,0.0,0.0,23.0,5.0,1.0
2024,CHN,1,0,25.5,26.25,0.0,13.833333333333332,0.0,2.333333333333333,7.25,23.0,1.5,0.5,10.166666666666668,1.0,9.25,0.0,3.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.75,0,0.0,1.0,4.341269841269841,10.5,4.5,0.0,0.5,0.0,7.0,0.0,0.0,17.5,0.0,4.0,0.0,16.333333333333332,3.0,3.1666666666666665,0.0,0.0,0.0,16.5,3.5,3.0
1964,DEN,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,10.833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1968,DEN,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,7.833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1972,DEN,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,2.1666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1976,DEN,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,DEN,1,0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992,DEN,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996,DEN,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,12.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000,DEN,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,6.0,0.0,9.833333333333334,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
