Rank,NOC,Gold,Silver,Bronze,Total,Year
1,USA,40,44,42,126,2024
2,CHN,40,27,24,91,2024
3,JPN,20,12,13,45,2024
4,AUS,18,19,16,53,2024
5,FRA,16,26,22,64,2024
6,NED,15,7,12,34,2024
7,GBR,14,22,29,65,2024
8,KOR,13,9,10,32,2024
9,ITA,12,13,15,40,2024
10,GER,12,13,8,33,2024
11,NZL,10,7,3,20,2024
12,CAN,9,7,11,27,2024
13,UZB,8,2,3,13,2024
14,HUN,6,7,6,19,2024
15,ESP,5,4,9,18,2024
16,SWE,4,4,3,11,2024
17,KEN,4,2,5,11,2024
18,NOR,4,1,3,8,2024
19,IRL,4,0,3,7,2024
20,BRA,3,7,10,20,2024
21,IRI,3,6,3,12,2024
22,UKR,3,5,4,12,2024
23,ROU,3,4,2,9,2024
24,GEO,3,3,1,7,2024
25,BEL,3,1,6,10,2024
26,BUL,3,1,3,7,2024
27,SRB,3,1,1,5,2024
28,CZE,3,0,2,5,2024
29,DEN,2,2,5,9,2024
30,AZE,2,2,3,7,2024
30,CRO,2,2,3,7,2024
32,CUB,2,1,6,9,2024
33,BRN,2,1,1,4,2024
34,SVN,2,1,0,3,2024
35,TPE,2,0,5,7,2024
36,AUT,2,0,3,5,2024
37,CHK,2,0,2,4,2024
37,PHI,2,0,2,4,2024
39,ALG,2,0,1,3,2024
39,INA,2,0,1,3,2024
41,ISR,1,5,1,7,2024
42,POL,1,4,5,10,2024
43,KAZ,1,3,3,7,2024
44,JAM,1,3,2,6,2024
44,RSA,1,3,2,6,2024
44,THA,1,3,2,6,2024
47,ETH,1,3,0,4,2024
48,CHE,1,2,5,8,2024
49,ECU,1,2,2,5,2024
50,PRT,1,2,1,4,2024
51,GRE,1,1,6,8,2024
52,ARG,1,1,1,3,2024
52,EGY,1,1,1,3,2024
52,TUN,1,1,1,3,2024
55,BOT,1,1,0,2,2024
55,CHI,1,1,0,2,2024
55,LCA,1,1,0,2,2024
55,UGA,1,1,0,2,2024
59,DOM,1,0,2,3,2024
60,GUA,1,0,1,2,2024
60,MAR,1,0,1,2,2024
62,DMA,1,0,0,1,2024
62,PAK,1,0,0,1,2024
64,TUR,0,3,5,8,2024
65,MEX,0,3,2,5,2024
66,ARM,0,3,1,4,2024
66,COL,0,3,1,4,2024
68,KGZ,0,2,4,6,2024
68,NKA,0,2,4,6,2024
70,LTU,0,2,2,4,2024
71,IND,0,1,5,6,2024
72,MLA,0,1,3,4,2024
73,KOS,0,1,1,2,2024
74,CYP,0,1,0,1,2024
74,FIJ,0,1,0,1,2024
74,JOR,0,1,0,1,2024
74,MGL,0,1,0,1,2024
74,PAN,0,1,0,1,2024
79,TJK,0,0,3,3,2024
80,ALB,0,0,2,2,2024
80,GRN,0,0,2,2,2024
80,MAS,0,0,2,2,2024
80,PPO,0,0,2,2,2024
84,CPV,0,0,1,1,2024
84,ICT,0,0,1,1,2024
84,PER,0,0,1,1,2024
84,QAT,0,0,1,1,2024
84,EOR,0,0,1,1,2024
84,SGP,0,0,1,1,2024
84,SVK,0,0,1,1,2024
84,ZMB,0,0,1,1,2024
1,USA,39,41,33,113,2020
2,CHN,38,32,19,89,2020
3,JPN,27,14,17,58,2020
4,GBR,22,20,22,64,2020
5,AIN,20,28,23,71,2020
6,AUS,17,7,22,46,2020
7,NED,10,12,14,36,2020
8,FRA,10,12,11,33,2020
9,GER,10,11,16,37,2020
10,ITA,10,10,20,40,2020
11,CAN,7,7,10,24,2020
12,BRA,7,6,8,21,2020
13,NZL,7,6,7,20,2020
14,CUB,7,3,5,15,2020
15,HUN,6,7,7,20,2020
16,KOR,6,4,10,20,2020
17,POL,4,5,5,14,2020
18,CZE,4,4,3,11,2020
19,KEN,4,4,2,10,2020
20,NOR,4,2,2,8,2020
21,JAM,4,1,4,9,2020
22,ESP,3,8,6,17,2020
23,SWE,3,6,0,9,2020
24,CHE,3,4,6,13,2020
25,DEN,3,4,4,11,2020
26,CRO,3,3,2,8,2020
27,IRI,3,2,2,7,2020
28,SRB,3,1,5,9,2020
29,BEL,3,1,3,7,2020
30,BUL,3,1,2,6,2020
31,SVN,3,1,1,5,2020
32,UZB,3,0,2,5,2020
33,GEO,2,5,1,8,2020
34,TPE,2,4,6,12,2020
35,TUR,2,2,9,13,2020
36,GRE,2,1,1,4,2020
36,UGA,2,1,1,4,2020
38,ECU,2,1,0,3,2020
39,IRL,2,0,2,4,2020
39,ISR,2,0,2,4,2020
