,NOC,Gold_rate,Silver_rate,Bronze_rate,Total_rate,Gold,Silver,Bronze,Total,Sum
25,USA,0.13084989945753378,0.13449490163302347,0.10749595604647438,0.12315501124722009,43.0,44.0,35.0,122.0,122.0
0,CHN,0.11979839963378222,0.08284653302561668,0.0627993683061123,0.08741332702821134,39.0,27.0,21.0,86.0,87.0
65,JPN,0.05441681918648371,0.03459260606155928,0.03466668710541178,0.04117724141751615,18.0,11.0,11.0,41.0,40.0
78,GBR,0.05005366557337036,0.06762100097813994,0.07103484872998303,0.06065140801052214,16.0,22.0,23.0,60.0,61.0
7,FRA,0.04936970651568236,0.0680192130824857,0.052926383604708346,0.05394452649631,16.0,22.0,17.0,53.0,55.0
40,AUS,0.04873385425308808,0.05301801910655573,0.04155052592325875,0.046818842304363076,16.0,17.0,14.0,46.0,47.0
13,ITA,0.03938988957234798,0.03948849909534839,0.04039280493575789,0.040083273803850565,13.0,13.0,13.0,40.0,39.0
37,GER,0.0360788253572676,0.036927195456687385,0.028821458143491505,0.032508698908398505,12.0,12.0,9.0,32.0,33.0
2,NED,0.0376104193630269,0.023832627972121267,0.02659049756845039,0.02754228288312765,12.0,8.0,9.0,27.0,29.0
164,KOR,0.03521326113744288,0.025697868260559083,0.02614743485801717,0.029399958813697454,12.0,8.0,9.0,29.0,29.0
38,CAN,0.024928551283238377,0.023632725732555954,0.02719091276051107,0.02465998027675901,8.0,8.0,9.0,24.0,25.0
90,NZL,0.025221149567393464,0.01815247267834795,0.009810966657330115,0.01709989529830793,8.0,6.0,3.0,17.0,17.0
27,HUN,0.021357428494262157,0.02137409947727145,0.017605424289096356,0.02151184614478398,7.0,7.0,6.0,21.0,20.0
9,ESP,0.016738008716486223,0.013458803515135367,0.019937805401707014,0.016223870530362616,6.0,4.0,7.0,16.0,17.0
62,UZB,0.018114876470545924,0.005427377278725661,0.010324569372816832,0.01096089243595436,6.0,2.0,3.0,11.0,11.0
122,UKR,0.011297577249665658,0.017779563885620145,0.016268199626566865,0.014958753119734138,4.0,6.0,5.0,15.0,15.0
11,IRI,0.01096596007701524,0.01886377938797077,0.007722468051846631,0.011719506266842454,4.0,6.0,3.0,12.0,13.0
72,SWE,0.01125600489495457,0.014199236968366107,0.00906910213922869,0.011212108949237697,4.0,5.0,3.0,11.0,12.0
76,KEN,0.011682034764829461,0.00820409166677892,0.011092065425030027,0.010399522712294057,4.0,3.0,4.0,10.0,11.0
5,ROU,0.011051033816151964,0.01192821901362387,0.006823269758811529,0.010130937156957603,4.0,4.0,2.0,10.0,10.0
4,NOR,0.012127428292327557,0.004407933178265592,0.007000840292647389,0.007905085330558398,4.0,1.0,2.0,8.0,7.0
68,BRA,0.009131658228078317,0.0177599260052949,0.021169404646106567,0.016535992852562673,3.0,6.0,7.0,16.0,16.0
84,POL,0.008202906306270234,0.017370063830939163,0.02044529620856978,0.014543278593625223,3.0,6.0,7.0,14.0,16.0
19,CUB,0.008063839111836777,0.005749226451535588,0.013854033156401685,0.009615441830342472,3.0,2.0,5.0,9.0,10.0
12,BUL,0.009370838548108273,0.0066405483558320405,0.010311153948242955,0.00913176792522191,3.0,2.0,3.0,9.0,8.0
47,BEL,0.007882453587525508,0.0034699025181712754,0.012028437650310943,0.007618142842647077,3.0,1.0,4.0,8.0,8.0
87,GEO,0.00931678737981414,0.009001814376265436,0.005533651585010186,0.006853627119501505,3.0,3.0,2.0,7.0,8.0
146,SRB,0.007928830041142941,0.0032822449770608837,0.0047174113328099475,0.005277591368472133,3.0,1.0,2.0,5.0,6.0
170,CZE,0.009137011409936703,0.0029558794993627567,0.007158493281915529,0.006123860355923792,3.0,1.0,2.0,6.0,6.0
39,IRL,0.009718114381040196,0.0014278793514569583,0.007535215761999734,0.006288097150274934,3.0,0.0,2.0,6.0,5.0
1,DEN,0.006351345847599542,0.005996262308809943,0.011194757998599564,0.008125720985334709,2.0,2.0,4.0,8.0,8.0
20,GRE,0.004815638879245314,0.0051235030224178555,0.013063446015369006,0.008123376866451256,2.0,2.0,4.0,8.0,8.0
15,AZE,0.00523020441936527,0.006652663583161494,0.00855075734456403,0.007249827002852602,2.0,2.0,3.0,7.0,7.0
127,CRO,0.006869100834438081,0.006700522172976047,0.008433317173759646,0.006966230269249761,2.0,2.0,3.0,7.0,7.0
183,TPE,0.005163986586754987,0.0014639007771289365,0.0110531312073123,0.006009141103704341,2.0,0.0,4.0,6.0,6.0
117,AUT,0.006264963366027246,0.0028021047322788974,0.006972382789474656,0.0051937006962960545,2.0,1.0,2.0,5.0,5.0
31,BRN,0.004856373388251845,0.0036019537289617033,0.0025356664556559555,0.0035039587502240467,2.0,1.0,1.0,3.0,4.0
59,INA,0.004686132918142837,0.0018799727361201285,0.0026263491589864304,0.0031186326309572544,2.0,1.0,1.0,3.0,4.0
29,ALG,0.004952114145668719,0.0004579184780446517,0.0025322975316663197,0.00271039500458524,2.0,0.0,1.0,3.0,3.0
22,TUR,0.002189288357092701,0.007893175186145945,0.011648943949565012,0.007634444179601109,1.0,3.0,4.0,8.0,8.0
41,RSA,0.004024375822254815,0.009359427765106829,0.005531653015600144,0.00598740079137715,1.0,3.0,2.0,6.0,6.0
51,KAZ,0.0033179703198664093,0.007282177268414725,0.010264738578470052,0.006528915068327852,1.0,2.0,3.0,6.0,6.0
70,ISR,0.0038503460623282018,0.011729705109260455,0.003382858119952547,0.0056563004067345275,1.0,4.0,1.0,6.0,6.0
112,JAM,0.004269844550232641,0.008686596502156255,0.005323700867960428,0.00602753648106381,1.0,3.0,2.0,6.0,6.0
17,AIN,0.003513900608401336,0.005498821799986287,0.004686506334818494,0.003869050497511648,1.0,2.0,2.0,4.0,5.0
53,IND,0.0017863900086068742,0.003736295381252602,0.009963877931445,0.005394521899734905,1.0,1.0,3.0,5.0,5.0
57,ETH,0.0037861109989502212,0.00889497672828643,0.002876106302285078,0.005286633559004205,1.0,3.0,1.0,5.0,5.0
95,COL,0.0018966374801217974,0.008120391386482616,0.002758094047019196,0.0040333229009702175,1.0,3.0,1.0,4.0,5.0
135,THA,0.003951483926490654,0.007578350001325408,0.005701549308667972,0.0058177980940865865,1.0,2.0,2.0,6.0,5.0
102,ECU,0.0033101809257391978,0.005364451364616298,0.003848691383470094,0.004063898566295594,1.0,2.0,1.0,4.0,4.0
10,EGY,0.002502348945206136,0.002244811586909725,0.003775016836534778,0.0030619063497616763,1.0,1.0,1.0,3.0,3.0
18,ARG,0.0032595680837815694,0.0034795805946119403,0.002973980913513565,0.0031996396017941135,1.0,1.0,1.0,3.0,3.0
45,TUN,0.0023063631445714846,0.0022800662015682255,0.0027000470359193,0.002164696063835421,1.0,1.0,1.0,2.0,3.0
60,PHI,0.004081628899726174,0.002135440822967861,0.004502663309960654,0.003738400078013936,1.0,1.0,1.0,4.0,3.0
8,MAR,0.0021970626141740368,0.0005074763258345221,0.00203699637256539,0.0016962629217891908,1.0,0.0,1.0,2.0,2.0
23,CHI,0.0023818636298752766,0.0027503763715485035,0.0003864956487968221,0.0019076026556867013,1.0,1.0,0.0,2.0,2.0
100,UGA,0.003247189122375655,0.002094480165314472,0.0006439752458816267,0.0019146553893817694,1.0,1.0,0.0,2.0,2.0
110,DOM,0.003587119095245216,0.0011255871394574577,0.004415082515386571,0.00359113121579256,1.0,0.0,1.0,4.0,2.0
144,GUA,0.0021333622226781092,0.0007678036479917535,0.002266989326293415,0.0017052234371545591,1.0,0.0,1.0,2.0,2.0
163,BOT,0.001974592944839145,0.0040371403955805525,0.0005324535336507646,0.0021595436129705744,1.0,1.0,0.0,2.0,2.0
178,LCA,0.001837138124804127,0.00249246327232197,0.0,0.0014589202591819106,1.0,1.0,0.0,1.0,2.0
32,PAK,0.0023912310286812906,0.0008482142857142777,4.1561343915314817e-05,0.001008029713940457,1.0,0.0,0.0,1.0,1.0
177,HKG,0.0019112185824030703,0.0007789662515246672,0.000770131111562677,0.0012348035783777455,1.0,0.0,0.0,1.0,1.0
63,KGZ,0.0008138259733345818,0.005692880051829877,0.00951686353373523,0.005378613353479112,0.0,2.0,3.0,5.0,5.0
24,MEX,0.0002411070806422765,0.007451080066296082,0.006064809546875877,0.004347558866461641,0.0,2.0,2.0,4.0,4.0
74,ARM,0.0004755672844285948,0.00811124786723465,0.002748946498171035,0.003861243263199046,0.0,3.0,1.0,4.0,4.0
119,LTU,0.0007205334790022302,0.005203220422529742,0.004210250449374094,0.003628146109999998,0.0,2.0,1.0,4.0,3.0
64,TJK,4.90196078431365e-05,0.00047288212602386885,0.0058270990880075185,0.002427700139924135,0.0,0.0,2.0,2.0,2.0
35,QAT,0.0003080297209001864,0.0004350868662110419,0.0020146863096977205,0.001000452513285165,0.0,0.0,1.0,1.0,1.0
36,MAS,3.8845176856511036e-05,0.0003155103778332363,0.0044958865693753,0.0017514865403197419,0.0,0.0,1.0,2.0,1.0
