,NOC,Feature,Gold,Silver,Bronze,Total
0,USA,Host,1.2722242664875759e-05,0.00023250878976736991,6.766691294001542e-07,6.74158670927948e-06
1,USA,SWA,3.110608298734589e-06,1.0987843874379736e-05,4.0916409467510455e-06,2.5266930706384047e-05
2,USA,DIV,0.11359501044368861,0.091024274300744,0.051700849856697643,0.12104658222730023
3,USA,OWS,2.7380519357049763e-05,2.2766868416711702e-07,6.078280901167917e-06,2.2074945576835625e-05
4,USA,SWM,0.026443851482792026,0.029549160111288095,0.1389347508959339,0.02960594532827719
5,USA,WPO,0.0733233795773171,0.08101679082512599,0.035116046215293996,0.05169666174316398
6,USA,ARC,0.04519725398275843,0.021843988482103397,0.08545880095571746,0.023441788006499483
7,USA,ATH,0.014589867337430397,0.012524337361742634,0.011872054221550231,0.02988073605993948
8,USA,BDM,0.0,0.0,0.0,0.0
9,USA,BK3,7.5930166458228545e-06,0.00012336573000057332,3.5561234013469966e-05,1.9349266611762233e-05
10,USA,BKB,0.07420319777092772,0.054458681214550844,0.15625797939905342,0.10056277563665697
11,USA,BOX,0.011816625886691617,0.009889881053158887,0.0063383319465111386,0.0033294544699490215
12,USA,BKG,0.0007420564192782542,0.00021547409135704568,3.056734995952403e-05,3.698632467180433e-06
13,USA,CSP,2.431336530076372e-05,3.579438163136382e-05,2.5545249015459843e-05,4.06022701214052e-05
14,USA,CSL,0.0010872026919452593,0.002046302947955778,0.0005549428519737464,0.005604412755929956
15,USA,BMF,2.0750817567982345e-05,5.272895196564118e-06,5.995867116671288e-06,7.736729949742805e-06
16,USA,BMX,3.2856822321867784e-05,2.694598907825076e-06,0.00017037560074613384,5.643380603910181e-06
17,USA,MTB,7.034049363554918e-07,1.6250741147103618e-05,2.9260793719544148e-06,7.386360183790023e-06
18,USA,CRD,3.84185087158513e-05,2.1419296977762914e-05,2.320344510921242e-06,9.458177728808253e-06
19,USA,CTR,0.0,0.0,0.0,0.0
20,USA,EDR,0.015518978412141187,0.006663236793127037,0.02968451763850122,0.018171400033592938
21,USA,EVE,0.008331417600640654,0.02627313274387384,0.0030799612641347926,0.019550288520525566
22,USA,EJP,0.009599182723640869,0.056841614765916294,0.012362983271849402,0.011842176836783834
23,USA,FEN,0.005076516741911103,0.005212215120524873,0.014213259493797053,0.008516190198107667
24,USA,HOC,0.0,0.0,0.0,0.0
25,USA,FBL,0.04219084347037936,0.10606939119413047,0.07583216723605153,0.05623778492441017
26,USA,GLF,0.00021852767909505568,0.00036675859666514694,0.0003612585796444482,3.3102045988840715e-05
27,USA,GAR,5.540532303374114e-06,1.2757362502053079e-05,8.24998928924473e-05,8.29743606427994e-06
28,USA,GRY,0.0,0.0,0.0,0.0
29,USA,GTR,0.0,0.0,0.0,0.0
30,USA,HBL,0.00029600308341154496,0.0007310118026310851,0.0004632940664646577,0.0005273979040408659
31,USA,JUD,0.04275319914391057,0.00863230161157165,0.0023438728530246395,0.0015530426915757636
32,USA,MPN,0.028542797796554373,0.008064333596978265,0.026941040970959222,0.00927270074505636
33,USA,ROW,0.015945026912407356,0.01786757182359248,0.03218649746631933,0.00587021348404947
34,USA,RU7,1.2246980022293844e-06,6.823651779018284e-05,8.704340132582156e-06,3.6728093772532106e-06
35,USA,SAL,0.006483108890192958,0.015951022862582983,0.02749260711346174,0.03699867386106748
36,USA,SHO,0.04556382223916101,0.02363432715381735,0.07311512545250617,0.0445237649513888
37,USA,SKB,0.00044744710748575436,1.305407080970935e-05,5.567334919413647e-06,1.0327172873881632e-05
38,USA,CLB,0.0005128169070567025,3.7621586900453087e-06,7.915064447788626e-05,1.3979284417049153e-05
39,USA,SRF,1.75416142691657e-06,1.0429116896525213e-05,3.853222521379159e-05,5.8175611798991965e-05
40,USA,TTE,0.0,0.0,0.0,0.0
41,USA,TKW,0.02328173147964277,0.031013674381660104,0.028785681203672673,0.015642220886112897
42,USA,TEN,0.24894010413707515,0.20988925171058834,0.06003873251967743,0.2989710765732775
43,USA,TRI,0.02578947523013169,0.0052116680961463106,0.012866183600240447,0.001234715024349458
44,USA,VBV,0.008552592733137562,0.051711905693946576,0.024067507209538406,0.015488798637246833
45,USA,VVO,0.0832989746042565,0.08521558387520065,0.03790133802578715,0.07316960181691125
46,USA,WLF,0.012531310126998456,0.009248304627080699,0.0027157803658855555,0.005359090973408877
47,USA,WRF,0.010528282897198322,0.020425107585003367,0.045820315523297434,0.005361002618892407
48,USA,WRG,0.004423025793199899,0.007851934404060134,0.002995527049107682,0.006265990450306242
